gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	colon endothelial cell	colon macrophage	enterochromaffin-like cell	enterocyte of epithelium of large intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of colon	large intestine goblet cell	mast cell	mature NK T cell	monocyte	myeloid dendritic cell	myeloid leukocyte	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	paneth cell of colon	plasma cell	regulatory T cell	transit amplifying cell of colon	tuft cell of colon	type L enteroendocrine cell
ENSG00000250138	0.0000	0.0000	0.0004	0.0000	0.0000	0.0244	0.0000	0.0004	0.0000	0.0003	0.0000	0.0000	0.0002	0.0007	0.0000	0.0000	0.0078	0.0000	0.0135	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000250140	0.0000	0.0006	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0019	0.0000	0.0000	0.0000	0.0000	0.0008	0.0022	0.0000	0.0000	0.0000
LINC02276	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EEF1A1P35	0.0000	0.0000	0.0003	0.0001	0.0015	0.0002	0.0000	0.0016	0.0001	0.0001	0.0011	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0000	0.0016	0.0001	0.0000	0.0000	0.0000	0.0000
ENSG00000250145	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MORF4L2P1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
KRT8P31	0.0000	0.0018	0.0000	0.0012	0.0000	0.0005	0.0000	0.0010	0.0000	0.0000	0.0000	0.0000	0.0034	0.0019	0.0032	0.0000	0.0339	0.0000	0.0000	0.0000	0.0000	0.0000	0.0012	0.0000	0.0000	0.0005	0.0000	0.0000
ENSG00000250149	0.0076	0.0206	0.0091	0.0036	0.0000	0.0060	0.0000	0.0030	0.0000	0.0031	0.0063	0.0000	0.0000	0.0073	0.0043	0.0000	0.0000	0.0000	0.0075	0.0000	0.0293	0.0000	0.0000	0.0027	0.0122	0.0078	0.0118	0.0709
ENSG00000250150	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ARPC4-TTLL3	0.0034	0.0100	0.0027	0.0012	0.0000	0.0012	0.0000	0.0026	0.0000	0.0026	0.0016	0.0000	0.0006	0.0006	0.0000	0.0000	0.0000	0.0128	0.0000	0.0000	0.0127	0.0000	0.0003	0.0004	0.0000	0.0000	0.0087	0.0000
