gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	colon endothelial cell	colon macrophage	enterochromaffin-like cell	enterocyte of epithelium of large intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of colon	large intestine goblet cell	mast cell	mature NK T cell	monocyte	myeloid dendritic cell	myeloid leukocyte	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	paneth cell of colon	plasma cell	regulatory T cell	transit amplifying cell of colon	tuft cell of colon	type L enteroendocrine cell
TSPAN6	0.0044	0.1072	0.0042	0.0052	0.8370	0.0000	0.0910	0.4153	0.1230	0.1016	0.0019	0.0000	1.1534	0.1644	0.0021	0.0000	0.0000	0.0000	0.0000	0.0732	0.0064	0.0000	2.0020	0.0019	0.0080	0.4962	0.0692	0.1607
TNMD	0.0000	0.0036	0.0000	0.0012	0.0237	0.0000	0.0000	0.0051	0.0000	0.0554	0.0000	0.0000	0.0087	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0023	0.0000	0.0000	0.0047	0.0000	0.0000
DPM1	0.5282	0.3104	0.6330	0.6228	0.7435	0.3836	0.2458	0.3197	0.6830	0.5037	0.7102	0.4354	0.4412	0.3520	0.3696	0.4453	0.4325	0.3190	0.3900	0.5796	1.0220	0.5587	0.5117	0.3250	0.6868	0.4479	0.3163	0.4008
SCYL3	0.1952	0.1211	0.1430	0.1260	0.0832	0.0999	0.1396	0.2204	0.0711	0.1240	0.2280	0.2851	0.1011	0.2155	0.0677	0.2527	0.0095	0.0391	0.0974	0.0283	0.1595	0.0000	0.1070	0.1125	0.2316	0.1692	0.5190	0.2429
FIRRM	0.1537	0.0316	0.0414	0.0470	0.0396	0.0984	0.0951	0.0281	0.0242	0.0421	0.0434	0.0000	0.0252	0.0409	0.0171	0.0342	0.0474	0.0240	0.1364	0.0000	0.7997	0.0855	0.0064	0.0344	0.3802	0.1036	0.0374	0.0249
FGR	0.0495	0.0013	0.0028	0.0080	0.2027	0.6578	0.0000	0.0007	0.0027	0.0098	0.0178	0.0000	0.0017	0.0011	0.0971	0.0226	3.6973	0.6362	0.8739	0.0031	0.0000	0.6784	0.0000	0.0464	0.0033	0.0000	0.0006	0.0000
CFH	0.0010	0.0014	0.0593	0.0095	0.3062	0.0426	0.0000	0.0033	0.0511	1.1801	0.0079	0.0000	0.0083	0.0000	0.0000	0.0000	0.0123	0.0368	0.0253	0.0219	0.0141	0.0000	0.0000	0.0006	0.0027	0.0107	0.0002	0.0000
FUCA2	0.0577	0.1444	0.0354	0.0436	0.3226	0.5519	0.1151	0.2019	0.1500	0.4168	0.0893	0.0000	0.4565	0.1272	0.2547	0.4886	0.1507	0.2400	0.1336	0.0795	0.0146	0.1134	0.8448	0.2298	0.0394	0.3961	0.1153	0.2035
GCLC	0.3271	0.5537	0.3089	0.3155	0.4633	1.4773	7.7960	0.5268	0.2354	0.6035	0.4349	0.5118	0.3033	0.5897	0.2939	0.4870	0.1189	1.6491	1.5135	0.1442	0.2937	0.1709	0.1976	0.0820	0.2719	0.5353	0.5005	4.7245
NFYA	0.2672	0.2337	0.2420	0.2063	0.4147	0.2212	0.8595	0.2680	0.2728	0.2688	0.2145	0.5566	0.1282	0.3697	0.2422	0.1943	0.3421	0.0984	0.3447	0.1820	0.4044	0.2077	0.2293	0.1213	0.2675	0.2077	0.2813	0.3112
STPG1	0.0570	0.1315	0.0714	0.0633	0.0507	0.0071	0.2853	0.2070	0.0051	0.0520	0.0678	0.0000	0.0795	0.2944	0.0288	0.1254	0.0053	0.0125	0.0013	0.0466	0.0385	0.0000	0.0583	0.0439	0.0642	0.1884	0.1133	0.0762
NIPAL3	0.2305	0.2280	0.3753	0.4016	0.1770	0.0635	0.0841	0.2472	0.1253	0.0833	0.4821	0.2135	0.1649	0.2752	0.0747	0.1922	0.0125	0.0000	0.0664	0.0962	0.7076	0.5302	0.3069	0.2379	0.6105	0.2794	0.6380	0.2472
LAS1L	0.2168	0.0641	0.1659	0.1621	0.2180	0.1116	0.0152	0.0531	0.1832	0.1765	0.1814	0.0000	0.1426	0.0833	0.1647	0.1455	0.0238	0.1221	0.0999	0.0844	0.2370	0.2972	0.1385	0.1288	0.1658	0.2159	0.1181	0.1888
ENPP4	0.1734	0.1344	0.1007	0.1420	0.2754	0.1712	0.0526	0.1203	0.1077	0.0209	0.1160	0.0000	0.1026	0.1489	0.4219	0.0299	0.2835	0.2364	0.0988	0.4337	0.0664	0.3964	0.1035	0.0368	0.0535	0.0908	0.4387	0.1346
SEMA3F	0.0017	0.0079	0.0077	0.0023	0.3707	0.0024	0.0000	0.0121	0.0013	0.0083	0.0047	0.0000	0.0104	0.1217	0.0000	0.0000	0.0339	0.0000	0.0141	0.0417	0.0000	0.0000	0.0130	0.0013	0.0000	0.0446	0.0522	0.0740
CFTR	0.0074	0.1275	0.0040	0.0030	0.0190	0.0417	0.2511	1.4089	0.0000	0.0096	0.0059	0.0000	1.4912	0.1412	0.2449	0.0240	0.0123	0.0000	0.1364	0.0003	0.0114	0.0000	0.9125	0.0052	0.0079	1.6292	0.5578	0.0000
ANKIB1	1.3945	0.8314	1.1753	1.0474	0.7796	0.8528	1.1636	0.4262	0.5984	0.6579	1.3897	1.1323	0.3912	0.8160	0.6890	0.9901	0.3804	0.4788	0.8798	0.7234	2.0112	1.4009	0.2302	0.9611	1.5897	0.6682	0.9713	0.9678
CYP51A1	0.0594	0.0984	0.0846	0.1023	0.0601	0.0196	0.1676	0.1211	0.0341	0.1022	0.0944	0.5301	0.1536	0.0715	0.0678	0.0991	0.0078	0.0256	0.0209	0.1477	0.0250	0.1562	0.1455	0.0834	0.0428	0.1397	0.1328	0.1646
KRIT1	0.3431	0.1726	0.2291	0.1799	0.3285	0.2757	0.2685	0.1428	0.1822	0.2511	0.2267	0.6168	0.1311	0.2263	0.2470	0.2567	0.2002	0.0712	0.3344	0.0510	0.3558	0.0000	0.1366	0.1584	0.3055	0.1639	0.2228	0.3374
RAD52	0.1730	0.1097	0.1028	0.0871	0.1184	0.0828	0.4439	0.2679	0.1736	0.1621	0.0888	0.2135	0.0636	0.1806	0.0554	0.1635	0.0573	0.0498	0.1144	0.2814	0.1828	0.0000	0.1410	0.0652	0.1295	0.1589	0.3119	0.2043
BAD	0.1144	0.5713	0.2010	0.2680	0.2988	0.1491	0.4366	0.4844	0.3457	0.3738	0.1869	0.0000	0.7980	0.4265	0.2126	0.2065	0.0883	0.1449	0.0544	0.3586	0.0341	0.1152	0.7054	0.1190	0.1321	0.5748	0.1299	0.5037
LAP3	0.1807	0.4416	0.3875	0.5239	1.3102	0.6215	0.5765	0.4901	0.3514	0.3437	0.5478	0.2812	0.5098	0.5703	0.2662	0.3750	0.2142	0.6915	0.4119	0.2426	0.2493	0.5147	0.6682	0.2797	0.2591	0.5026	0.3209	0.2585
CD99	0.0000	0.0000	0.0002	0.0003	0.0013	0.0002	0.0000	0.0001	0.0002	0.0001	0.0001	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0039	0.0000	0.0000	0.0026	0.0000	0.0000	0.0000	0.0000	0.0010
HS3ST1	0.0258	0.0720	0.0010	0.0012	0.1824	0.3602	0.0000	0.0650	0.0084	0.0168	0.0014	0.0000	0.0479	0.0951	0.3218	0.0000	0.0368	0.1009	0.2604	0.0830	0.0000	0.0000	0.0922	0.0020	0.0042	0.0434	0.0352	0.0000
AOC1	0.0130	1.9535	0.0023	0.0009	0.0014	0.0333	0.3066	1.3199	0.0100	0.0034	0.0010	0.0000	0.9025	0.7361	0.0000	0.0000	0.0401	0.0100	0.0079	0.0000	0.0000	0.0000	0.7924	0.0053	0.0057	0.4115	1.3728	0.4193
WNT16	0.0560	0.0000	0.0010	0.0018	0.0026	0.0025	0.0425	0.0001	0.0073	0.0041	0.0036	0.0677	0.0000	0.0012	0.0000	0.0000	0.0000	0.0000	0.0012	0.0000	0.0000	0.0000	0.0000	0.0152	0.0000	0.0000	0.0012	0.0000
HECW1	0.0099	0.0394	0.0052	0.0060	0.0112	0.0032	0.0000	0.0144	0.0043	0.1184	0.0065	0.0000	0.0048	0.0185	0.0121	0.0000	0.0000	0.0000	0.0125	0.0725	0.0064	0.0000	0.0000	0.0015	0.0210	0.0045	0.0167	0.0000
MAD1L1	0.0111	0.0038	0.0062	0.0107	0.0100	0.0070	0.0000	0.0054	0.0063	0.0020	0.0059	0.0000	0.0027	0.0051	0.0325	0.0000	0.0078	0.0000	0.0109	0.0000	0.0057	0.0000	0.0005	0.0030	0.0214	0.0000	0.0128	0.0000
LASP1	0.3542	1.1080	0.4028	0.4370	0.5877	0.6581	0.3265	0.8234	0.6580	0.5825	0.5569	0.2824	0.6111	1.0052	0.4651	0.1860	0.4340	0.8353	0.6022	0.4987	0.3413	0.8580	0.5950	0.3138	0.4033	0.6674	1.9571	0.6571
SNX11	0.0908	0.0679	0.0852	0.0733	0.0644	0.1461	0.2518	0.0954	0.0772	0.0538	0.1223	0.2046	0.0702	0.0826	0.1409	0.1189	0.0221	0.0801	0.0976	0.2923	0.0557	0.2144	0.0425	0.0416	0.0879	0.0584	0.0359	0.1345
TMEM176A	0.0034	1.2461	0.0005	0.0006	0.1558	1.0892	0.0152	0.4610	2.4180	1.6249	0.0000	0.0000	0.9138	0.2206	0.0328	0.0000	0.6190	0.7668	0.1828	0.1361	0.0000	0.1821	1.5679	0.0182	0.0009	0.5239	0.7626	0.3748
M6PR	0.5408	0.5288	0.4163	0.4958	0.3548	1.5488	0.1718	0.2761	0.3231	0.3833	0.4389	0.1480	0.3383	0.3317	0.8377	0.5247	0.4774	1.3182	0.7981	0.3060	0.4998	0.2276	0.2856	0.2485	0.4293	0.4554	0.2237	0.1427
KLHL13	0.0324	0.3546	0.0141	0.0158	0.0450	0.0707	0.0000	0.0991	0.1762	0.4684	0.0207	1.7873	0.0596	0.2266	0.0325	0.0000	0.0000	0.0207	0.0239	0.2730	0.0312	0.0000	0.0562	0.0057	0.0236	0.1220	0.3062	0.0000
CYP26B1	0.0005	0.0329	0.0000	0.0004	0.0567	0.0744	0.0000	0.0045	0.0053	0.0208	0.0009	0.0000	0.0020	0.0060	0.0043	0.0000	0.0000	0.0575	0.0164	0.0236	0.0000	0.0000	0.0149	0.0007	0.0031	0.0019	0.0003	0.0000
ICA1	0.0166	1.0205	0.0657	0.0482	0.9282	0.2731	3.0196	0.5900	0.0083	0.0130	0.0495	0.0000	0.6184	1.9299	0.0285	0.1598	0.0299	0.0919	0.3470	0.0032	0.0466	0.0000	0.8411	0.0326	0.5333	0.7963	1.1726	2.3748
DBNDD1	0.0100	0.0223	0.0025	0.0015	0.0026	0.0018	0.0000	0.0043	0.0000	0.0017	0.0008	0.0000	0.0093	0.0036	0.0089	0.0000	0.0000	0.0000	0.0000	0.0000	0.0240	0.0000	0.0000	0.0025	0.0072	0.0173	0.0001	0.0182
ALS2	0.1032	0.1122	0.1249	0.1331	0.2601	0.1657	0.3221	0.0605	0.1644	0.1531	0.1752	0.2135	0.0591	0.2303	0.5810	0.2652	0.0596	0.1050	0.1955	0.0473	0.1682	0.1152	0.0502	0.0548	0.1295	0.0939	0.2397	0.2502
CASP10	0.3652	0.7489	0.1243	0.0443	0.3072	0.2070	0.0256	0.3930	0.0030	0.0310	0.1119	0.0000	0.2591	0.3336	0.0934	0.1143	0.2129	0.1151	0.3036	0.0090	0.2667	0.8422	0.2584	0.7871	0.0781	0.2594	0.1577	0.0208
CFLAR	2.0760	1.6353	2.9382	3.3445	2.6923	4.6363	0.5481	1.0285	0.8525	0.8678	2.4070	0.4651	0.8479	1.3723	0.5527	1.9928	7.6608	3.9111	6.1165	0.5457	0.9192	3.1882	1.4514	3.9572	1.9502	0.8132	1.1430	1.0046
TFPI	0.0077	0.7225	0.0091	0.0088	6.2582	0.4509	1.9230	0.0551	0.3171	7.8456	0.0053	0.0000	0.0431	0.1411	0.2224	0.0340	1.6985	0.3618	0.5035	1.9257	0.0000	0.0000	0.1467	0.0052	0.0119	0.0511	0.0150	2.2221
NDUFAF7	0.2652	0.0841	0.3526	0.3991	0.1740	0.1570	0.3022	0.0932	0.1378	0.2112	0.6043	1.0608	0.0915	0.1056	0.3219	0.4050	0.0415	0.0908	0.2058	0.2306	0.4677	0.4278	0.1201	0.0801	0.4096	0.1595	0.1221	0.1997
RBM5	1.2522	0.7196	1.0362	1.0280	0.8747	0.8171	0.7309	0.6034	0.6881	0.7398	1.2841	2.0138	0.4109	0.8378	0.9763	0.5039	0.6400	0.6504	1.1243	0.5379	1.5941	1.4445	0.5049	0.6461	1.3023	0.5289	1.4238	1.2816
MTMR7	0.0374	0.0175	0.0237	0.0273	0.0179	0.0223	0.0996	0.0085	0.0145	0.0122	0.0328	0.0000	0.0018	0.0436	0.0097	0.0000	0.0000	0.0000	0.0471	0.1005	0.0259	0.0000	0.0099	0.0235	0.0693	0.0156	0.0872	0.1881
SLC7A2	0.0012	0.0031	0.0006	0.0011	0.4204	0.0282	1.9636	0.0067	0.3100	0.1147	0.0016	0.0000	0.0093	0.0193	0.0000	0.0000	0.0000	0.0000	0.0000	2.7872	0.0000	0.0000	0.0084	0.0008	0.0041	0.0089	0.0007	0.4286
ARF5	0.1233	0.2201	0.2373	0.3267	0.3108	0.1876	0.1396	0.1740	0.3325	0.2421	0.3428	0.0000	0.7065	0.1228	0.2171	0.3889	0.2680	0.1469	0.0662	0.4017	0.0377	0.4737	0.6640	0.0832	0.1211	0.5096	0.0824	0.4641
SARM1	0.0409	0.0348	0.0563	0.0525	0.0810	0.0523	0.0152	0.0502	0.0362	0.0551	0.0717	0.2413	0.0403	0.0783	0.0461	0.0629	0.0093	0.0154	0.0515	0.0620	0.0532	0.0000	0.0267	0.0447	0.0614	0.0361	0.0287	0.0704
POLDIP2	0.1257	0.1606	0.1113	0.1435	0.2188	0.3013	0.2052	0.2356	0.1753	0.1664	0.1274	0.0677	0.3909	0.1309	0.1587	0.2974	0.0496	0.3034	0.0801	0.3172	0.0492	0.1562	0.6808	0.1186	0.0981	0.4002	0.0678	0.1917
PLXND1	0.0926	0.0000	0.1457	0.1209	0.7153	0.9510	0.0152	0.0012	0.3203	0.1897	0.0448	0.4036	0.0010	0.0271	0.1449	0.0514	0.1503	0.5495	0.7511	0.1847	0.0514	0.3353	0.0098	0.0036	0.2945	0.0070	0.0000	0.0686
AK2	0.2931	0.2913	0.2822	0.3094	0.5501	0.1760	0.4701	0.6201	0.3745	0.2989	0.3497	0.2413	0.9735	0.3852	0.5540	0.3911	0.6653	0.2010	0.1202	0.2808	0.2754	0.6544	1.5248	0.1646	0.2528	1.0017	0.4654	0.3493
CD38	0.1995	0.0031	0.0652	0.0885	0.0578	0.4238	0.0000	0.0018	0.0065	0.0095	0.2007	0.0000	0.0028	0.0174	0.5566	0.1528	0.1411	0.2779	0.3544	0.0000	0.1705	2.0814	0.0000	2.2223	0.4925	0.0235	0.0001	0.0000
FKBP4	0.1183	0.2992	0.2143	0.2737	0.2382	0.2504	0.2257	0.2877	0.4245	0.1780	0.1696	0.0000	0.6078	0.3442	0.2297	0.0971	0.0677	0.1986	0.1490	0.5704	0.0974	0.1152	0.5430	0.0746	0.1494	0.7396	0.3211	0.2378
KDM1A	0.3382	0.1396	0.4006	0.3935	0.3416	0.3880	0.6247	0.1798	0.2084	0.3587	0.4797	0.0716	0.3457	0.2784	0.4066	0.4591	0.3865	0.2610	0.4986	0.2263	0.7869	0.5363	0.3373	0.2634	0.4722	0.5470	0.6347	0.6651
RBM6	3.4605	1.3527	2.1967	1.7884	1.4407	1.7756	1.6490	1.4168	1.0448	1.5129	2.5906	2.5522	0.9589	2.1001	2.3314	1.6484	1.2836	1.7698	2.8131	0.7468	4.0741	1.5205	0.7429	2.6671	2.8821	1.3751	3.0593	2.0941
CAMKK1	0.6350	0.0073	0.0644	0.0353	0.0815	0.2450	0.2502	0.0140	0.0071	0.1048	0.0385	0.0000	0.0204	0.0608	0.2784	0.1244	0.1182	0.3104	0.3271	0.0166	0.0597	0.2696	0.0241	0.0961	0.0640	0.0659	0.0694	0.2414
RECQL	0.4205	0.0480	0.2714	0.4484	0.6611	0.3948	0.1176	0.0398	0.2959	0.3254	0.5214	0.1354	0.1015	0.0391	0.2937	0.3065	0.3520	0.3555	0.3657	0.4084	0.3079	0.2784	0.0554	0.1770	0.3908	0.1814	0.0092	0.1502
VPS50	0.8691	0.5076	0.2680	0.2188	0.2844	0.4000	0.4764	0.3204	0.2489	0.2641	0.4114	0.6567	0.2214	0.6388	0.1639	0.1927	0.1037	0.3147	0.5013	0.0418	0.8272	0.0000	0.0857	0.2777	0.4444	0.4125	0.4710	0.6560
HSPB6	0.0036	0.0042	0.0022	0.0000	0.0234	0.0014	0.0000	0.0010	0.0039	0.7334	0.0009	0.0000	0.0018	0.0107	0.0194	0.0000	0.0000	0.0000	0.0021	1.8959	0.0000	0.0000	0.0105	0.0018	0.0021	0.0000	0.0000	0.0000
ARHGAP33	0.0063	0.0088	0.0173	0.0171	0.0162	0.0019	0.0599	0.0102	0.0502	0.0284	0.0148	0.0000	0.0121	0.0086	0.0313	0.0680	0.0000	0.0000	0.0135	0.0897	0.0208	0.1210	0.0058	0.0149	0.0092	0.1163	0.0560	0.0000
NDUFAB1	0.2895	0.2254	0.4454	0.6035	0.6774	0.4105	0.4590	0.5033	0.6705	0.4550	0.4594	0.0677	2.8824	0.2689	0.5425	0.5221	0.2054	0.4617	0.1133	0.7429	0.1816	0.6200	1.7819	0.3509	0.4111	1.7724	0.2394	0.7093
PDK4	0.0289	1.6040	0.0209	0.0344	11.2667	3.9963	3.0445	2.6236	18.2423	15.2530	0.0073	0.0000	2.3923	1.5633	0.0308	0.0235	0.2359	1.7468	3.1401	58.7701	0.0094	0.1308	2.4596	0.0238	0.0286	1.4840	0.1793	9.7314
SLC22A16	0.0036	0.0113	0.0053	0.0010	0.0000	0.0045	0.0000	0.0011	0.0023	0.0000	0.0013	0.0000	0.0000	0.0024	0.0000	0.0000	0.0000	0.0000	0.0091	0.0000	0.0130	0.0000	0.0000	0.0009	0.0062	0.0000	0.0005	0.0000
ZMYND10	0.0091	0.0024	0.0097	0.0118	0.0009	0.0000	0.0000	0.0010	0.0060	0.0033	0.0151	0.0000	0.0017	0.0084	0.0167	0.0000	0.0000	0.0000	0.0033	0.0000	0.0140	0.1487	0.0000	0.0038	0.0133	0.0105	0.0088	0.0000
ABCB5	0.0081	0.0322	0.0056	0.0028	0.0000	0.0033	0.0000	0.0083	0.0053	0.5553	0.0034	1.4906	0.0005	0.0071	0.0158	0.9762	0.0000	0.0000	0.0000	0.0000	0.0265	0.0000	0.0001	0.0025	0.0109	0.0000	0.0244	0.0000
ARX	0.0000	0.0011	0.0005	0.0000	0.0000	0.0000	0.0000	0.0029	0.0000	0.0000	0.0000	0.0000	0.0027	0.0070	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0030	0.0068	0.0000	0.0000	0.0000	0.9380
SLC25A13	1.0335	1.0895	0.2268	0.1419	0.6246	1.1162	0.9248	0.9734	0.3432	0.6291	0.2537	0.5366	0.6505	0.7312	0.3988	0.6091	2.0167	0.9892	1.9343	0.0431	0.7002	0.2419	0.3258	0.1815	0.5156	0.6895	2.1937	1.7419
ST7	0.0656	0.0841	0.1092	0.1227	0.1071	0.1507	0.3152	0.0512	0.0583	0.1300	0.1083	0.0000	0.0592	0.1320	0.5477	0.1322	0.0506	0.1594	0.0901	0.1694	0.0736	0.1487	0.1370	0.1168	0.1254	0.1146	0.1391	0.0383
CDC27	1.2353	0.2123	0.8918	0.8103	1.4261	0.6619	0.2602	0.1797	0.4698	1.1203	1.0283	0.4731	0.2232	0.2960	0.8292	0.7162	0.3844	0.5612	0.9720	1.0873	1.1770	0.5618	0.2720	0.6854	0.8221	0.4647	0.4694	0.6073
SLC4A1	0.0047	0.0006	0.0025	0.0010	0.0010	0.0092	0.0000	0.0010	0.0054	0.0054	0.0053	0.0000	0.0005	0.0007	0.0000	0.0000	0.0000	0.0000	0.0082	0.0000	0.0031	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000
CALCR	0.0019	0.0122	0.0009	0.0000	0.0000	0.0272	0.0837	0.0033	0.0044	0.0011	0.0017	0.0000	0.0000	0.0055	0.0000	0.0000	0.0000	0.0108	0.0132	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.0004	0.0089
HCCS	0.1106	0.1152	0.0675	0.0788	0.1310	0.0821	0.1788	0.1249	0.1018	0.0673	0.0454	0.0000	0.2512	0.0745	0.1044	0.1128	0.1161	0.0530	0.0652	0.1037	0.0176	0.0855	0.3133	0.0422	0.0391	0.2093	0.2623	0.1358
DVL2	0.0865	0.1011	0.0811	0.1021	0.1008	0.0993	0.1764	0.0847	0.0585	0.1691	0.1005	0.0000	0.1099	0.1527	0.0551	0.0832	0.0864	0.0525	0.0854	0.2250	0.0130	0.1487	0.0621	0.0318	0.0900	0.1748	0.1279	0.1530
PRSS22	0.0000	0.1071	0.0053	0.0034	0.0000	0.0000	0.0448	0.0242	0.0000	0.0016	0.0082	0.0000	0.0346	0.0398	0.0000	0.0000	0.0072	0.0000	0.0000	0.0000	0.0000	0.0000	0.0267	0.0005	0.0036	0.0204	0.5561	0.0096
UPF1	0.2274	0.3969	0.2783	0.2807	0.2327	0.2734	0.4246	0.3272	0.3002	0.2588	0.3702	0.0000	0.3956	0.5355	0.1940	0.4439	0.2667	0.2397	0.2423	0.2303	0.3634	0.4662	0.3987	0.2228	0.2710	0.5566	0.5282	0.7864
SKAP2	1.4290	0.4405	0.4292	0.4357	1.4850	1.8399	0.8863	0.5951	1.7889	0.8977	0.8858	3.8594	0.7166	1.2902	0.8492	1.6222	3.6139	1.5192	1.5755	1.1035	0.1206	0.2518	0.6038	0.3251	0.3200	0.8687	6.9985	1.1606
SLC25A5	0.9600	0.8627	1.3830	2.3563	1.8939	2.2717	0.8856	2.0269	1.8262	1.2850	1.2699	0.4062	7.9181	1.0794	1.3373	2.1349	1.4233	2.8410	0.4251	3.1131	0.4274	1.6861	9.5919	0.6021	0.9093	4.2790	0.5890	0.7671
MCUB	0.9933	0.0759	1.2859	0.8623	0.6200	0.7430	0.0000	0.0117	0.0676	0.4820	0.6064	2.4841	0.0441	0.0545	0.1602	0.3746	0.5969	0.6573	1.2403	0.1615	4.4434	0.3979	0.0213	0.2863	2.1712	0.1263	0.4798	0.1632
HOXA11	0.0013	0.0074	0.0000	0.0000	0.0310	0.0000	0.0198	0.0191	0.0000	0.1370	0.0015	0.0000	0.0189	0.0627	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0111	0.0002	0.0000	0.0673	0.0503	0.1959
POLR2J	0.3025	0.5399	0.3119	0.4620	0.4604	0.3379	0.2952	0.4422	0.4021	0.4549	0.3513	0.0000	0.8020	0.3263	0.3616	0.6306	0.4538	0.4261	0.0343	0.5067	0.1563	0.9465	0.3826	0.2658	0.2561	0.6788	0.2229	0.4740
DHX33	0.1200	0.0585	0.1028	0.0987	0.1330	0.0886	0.0195	0.0806	0.1076	0.1890	0.1334	0.0000	0.1312	0.0731	0.0742	0.1118	0.0000	0.0625	0.0500	0.2097	0.1225	0.0000	0.1089	0.0627	0.0798	0.2289	0.1391	0.0627
MEOX1	0.0036	0.0014	0.0003	0.0010	0.1685	0.0000	0.0000	0.0005	0.0021	0.0114	0.0030	0.0000	0.0000	0.0016	0.0000	0.0276	0.0000	0.0000	0.0082	0.0000	0.0029	0.0000	0.0000	0.0000	0.0029	0.0013	0.0105	0.0000
THSD7A	0.0073	0.7999	0.0047	0.0021	1.3428	0.0014	4.3617	0.0356	0.0897	0.2195	0.0012	0.0000	0.0304	0.1904	0.0000	0.0000	0.0000	0.0091	0.0000	0.0000	0.0039	0.0000	0.0325	0.0066	0.0104	0.1707	0.0008	5.4247
LIG3	0.1198	0.0697	0.0785	0.1109	0.0575	0.0426	0.2205	0.0899	0.0368	0.0643	0.1088	0.0000	0.1027	0.1741	0.1639	0.1603	0.0099	0.0327	0.0456	0.1406	0.1145	0.2144	0.1531	0.0861	0.0943	0.1611	0.2235	0.1045
RPAP3	0.4012	0.1132	0.2890	0.3340	0.1873	0.1943	0.4183	0.0887	0.1897	0.2121	0.3169	0.0000	0.1808	0.2006	0.3026	0.2305	0.0964	0.2189	0.1170	0.1070	0.3867	0.3706	0.1935	0.1723	0.4156	0.2919	0.2588	0.2695
ACSM3	0.5357	0.0533	0.0285	0.0271	0.1134	0.0242	0.0304	0.1023	0.0053	0.2734	0.0364	0.0000	0.2510	0.1047	0.0574	0.0525	0.0346	0.0704	0.0062	0.0082	0.0930	0.0000	0.4392	0.0440	0.0439	0.1956	0.0297	0.1246
REXO5	0.0078	0.0414	0.0101	0.0034	0.1049	0.0249	0.0000	0.0489	0.0509	0.0853	0.0102	0.0000	0.0210	0.0803	0.0256	0.0229	0.0000	0.0131	0.0265	0.0132	0.0000	0.0000	0.0240	0.0065	0.0057	0.1540	0.0289	0.0000
CIAPIN1	0.1447	0.1263	0.1258	0.1380	0.1815	0.1494	0.0621	0.1325	0.1190	0.1177	0.1421	0.0000	0.2381	0.1514	0.1662	0.0177	0.0313	0.1813	0.0915	0.1605	0.1158	0.1850	0.3871	0.0727	0.1488	0.1805	0.0795	0.1586
SPPL2B	0.3318	0.4712	0.0763	0.0613	0.1543	0.0885	0.1408	0.4756	0.1234	0.1282	0.0750	0.0000	0.2750	0.6208	0.1099	0.0000	0.0989	0.1177	0.0703	0.2659	0.2470	0.0000	0.1824	0.0764	0.0864	0.4631	0.5611	0.5629
ATOSB	0.0358	0.1384	0.0220	0.0452	0.0835	0.1742	0.1846	0.1705	0.0670	0.0772	0.0413	0.0000	0.1354	0.1440	0.0759	0.1479	0.1695	0.0898	0.1320	0.1218	0.0099	0.0000	0.1353	0.0172	0.0146	0.0899	0.0888	0.0733
COPZ2	0.0048	0.0018	0.0042	0.0039	0.1630	0.0421	0.0000	0.0069	0.2942	0.2973	0.0104	0.0000	0.0024	0.0136	0.0361	0.0095	0.0000	0.0000	0.0108	0.1452	0.0000	0.0000	0.0000	0.0542	0.0000	0.0101	0.0000	0.0083
PRKAR2B	0.0331	0.0180	0.1329	0.1751	0.2042	0.3817	0.0000	0.0414	0.0531	1.4874	0.6633	0.4085	0.0695	0.0594	0.4561	1.2308	0.1141	0.2900	0.5206	0.1325	0.0990	1.2592	0.0508	0.0865	0.0842	0.0966	0.5402	0.0380
MSL3	0.3477	0.1165	0.3044	0.2899	0.2686	0.2772	0.0822	0.0685	0.2475	0.1199	0.2661	0.2135	0.1045	0.1174	0.1134	0.2559	0.3309	0.2282	0.1648	0.0619	0.8222	0.4108	0.1468	0.0924	0.6358	0.1101	0.5135	0.1263
CREBBP	2.7199	1.3158	2.4173	1.9963	1.2745	2.0745	1.0059	0.7400	1.2840	1.9135	2.7899	3.9879	0.6745	1.2208	1.7936	2.6182	3.9444	2.3385	3.0773	0.7570	2.6063	2.4858	0.6508	0.9112	2.5374	0.9661	1.1257	1.3142
TSPOAP1	0.0585	0.0099	0.0557	0.1049	0.0131	0.0525	0.0450	0.0131	0.0559	0.0438	0.1430	0.0000	0.0123	0.0315	0.0766	0.0240	0.0923	0.0414	0.1299	0.0000	0.0072	0.1223	0.0202	0.0296	0.0720	0.0259	0.1013	0.0127
MPO	0.0000	0.0000	0.0003	0.0000	0.0040	0.0093	0.0000	0.0009	0.0000	0.0031	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0034	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000
