gene	tau	top_cell_state	top_expr	n_states
CROT	0.7361	innate lymphoid cell	0.3779	28
ABCB4	0.8718	enteroglial cell	0.2021	28
KMT2E	0.6800	innate lymphoid cell	21.9180	28
RHBDD2	0.7664	tuft cell of colon	1.0281	28
SOX8	0.9868	enteroglial cell	0.3987	28
IBTK	0.5529	BEST4+ enterocyte	1.1812	28
ZNF195	0.6353	myofibroblast cell	0.4949	28
MYCBP2	0.6509	B cell	4.9317	28
FBXL3	0.4243	mature NK T cell	0.6768	28
ITGAL	0.8851	natural killer cell	1.8741	28
PDK2	0.7544	myofibroblast cell	0.4196	28
ITGA3	0.7856	enterocyte of epithelium of large intestine	0.4961	28
ZFX	0.6222	myeloid leukocyte	1.8705	28
LAMP2	0.8135	enteroglial cell	2.9606	28
ITGA2B	0.7922	transit amplifying cell of colon	0.0312	28
ASB4	0.8850	myofibroblast cell	0.0360	28
GDE1	0.7777	paneth cell of colon	1.4293	28
REX1BD	0.4837	enterochromaffin-like cell	0.9362	28
CRLF1	0.9460	myofibroblast cell	0.2553	28
OSBPL7	0.9065	natural killer cell	1.2740	28
TMEM98	0.9134	paneth cell of colon	1.6032	28
YBX2	0.9687	transit amplifying cell of colon	0.3612	28
KRT33A	0.9977	myeloid leukocyte	0.0042	28
MAP3K14	0.5631	type L enteroendocrine cell	1.0009	28
ABCC8	0.9883	type L enteroendocrine cell	2.2535	28
CACNG3	0.9076	myeloid dendritic cell	0.0316	28
TMEM132A	0.9516	enteroglial cell	0.1650	28
AP2B1	0.4582	naive thymus-derived CD4-positive, alpha-beta T cell	2.2204	28
TAC1	0.9785	fibroblast	0.1446	28
ZNF263	0.6549	enterochromaffin-like cell	0.4562	28
CX3CL1	0.9690	colon endothelial cell	0.6763	28
SPATA20	0.7456	enterochromaffin-like cell	0.4043	28
CACNA1G	0.9585	tuft cell of colon	0.0722	28
TNFRSF12A	0.8757	paneth cell of colon	1.9239	28
DLX6	0.9916	enteroglial cell	0.0248	28
MAP3K9	0.5428	B cell	0.2688	28
RALA	0.7359	myeloid leukocyte	3.4009	28
BAIAP2L1	0.8996	type L enteroendocrine cell	6.3536	28
KDM7A	0.6797	type L enteroendocrine cell	3.1771	28
ETV1	0.9927	type L enteroendocrine cell	2.9285	28
AGK	0.4580	regulatory T cell	0.2946	28
ALDH3B1	0.8387	enteroglial cell	0.2886	28
TTC22	0.8260	paneth cell of colon	0.3594	28
PHTF2	0.7333	regulatory T cell	2.4828	28
CCL26	0.9328	large intestine goblet cell	0.1463	28
FARP2	0.6641	tuft cell of colon	2.6398	28
USH1C	0.8840	tuft cell of colon	2.1171	28
GGCT	0.7979	intestinal crypt stem cell of colon	0.7795	28
DBF4	0.6750	innate lymphoid cell	1.2036	28
TBXA2R	0.9408	colon endothelial cell	0.0983	28
IFRD1	0.5516	enteroglial cell	2.0904	28
LGALS14	0.9752	regulatory T cell	0.0022	28
COX10	0.7414	type L enteroendocrine cell	1.2057	28
GTF2IRD1	0.7968	myeloid leukocyte	1.1181	28
PAF1	0.6903	CD8-positive, alpha-beta T cell	1.0070	28
VPS41	0.7802	innate lymphoid cell	2.5044	28
ARHGAP44	0.8187	enterocyte of epithelium of large intestine	1.1416	28
ELAC2	0.7120	innate lymphoid cell	0.4861	28
SCIN	0.9590	BEST4+ enterocyte	4.6624	28
ARSD	0.7164	intestinal crypt stem cell of colon	0.6883	28
PNPLA4	0.7900	intestinal crypt stem cell of colon	0.2924	28
MYH13	0.9251	fibroblast	0.0503	28
ADIPOR2	0.6346	BEST4+ enterocyte	3.4015	28
CDKL3	0.8788	enteroglial cell	0.0384	28
UPP2	0.8434	mast cell	0.1419	28
PRSS21	0.8986	paneth cell of colon	0.0602	28
MARK4	0.6978	natural killer cell	0.7201	28
PROM1	0.8691	enterocyte of epithelium of large intestine	0.9160	28
CCDC124	0.6563	myofibroblast cell	0.6868	28
CEACAM21	0.8700	gamma-delta T cell	0.5197	28
PAFAH1B1	0.5017	innate lymphoid cell	4.6394	28
NOS2	0.9373	transit amplifying cell of colon	0.0764	28
DNAH9	0.6828	enterocyte of epithelium of large intestine	0.0539	28
BLTP2	0.5927	innate lymphoid cell	0.6750	28
SLC13A2	0.9564	enterocyte of epithelium of large intestine	0.2252	28
GAS7	0.9009	myeloid leukocyte	11.5910	28
TRAPPC6A	0.7643	intestinal crypt stem cell of colon	1.0323	28
MATK	0.9625	tuft cell of colon	2.8389	28
CEACAM7	0.9494	enterocyte of epithelium of large intestine	4.9536	28
CD79B	0.9318	B cell	0.6544	28
SCN4A	0.9426	colon endothelial cell	0.0272	28
ST7L	0.7318	innate lymphoid cell	0.9421	28
TKTL1	0.9463	monocyte	0.2864	28
PAX6	0.9714	type L enteroendocrine cell	0.5491	28
RPUSD1	0.7446	natural killer cell	0.1789	28
RHBDF1	0.8948	myofibroblast cell	0.4138	28
