gene	tau	top_cell_state	top_expr	n_states
PRDM16-DT	0.8664	enteroendocrine cell	0.2786	21
PRDM16	0.8087	endothelial cell of artery	0.1754	21
ENSG00000226286	0.8857	epithelial cell	0.0194	21
ENSG00000272235	0.8777	endothelial cell of artery	0.0041	21
ARHGEF16	0.7543	colon epithelial cell	0.2137	21
ENSG00000272088	0.8363	colon epithelial cell	0.0032	21
MEGF6	0.7336	mesothelial cell	0.2996	21
ENSG00000238260	0.6447	enteric neuron	0.0063	21
TPRG1L	0.5529	enterocyte	0.2035	21
WRAP73	0.4249	endothelial cell of artery	0.2214	21
TP73	0.8678	enteroendocrine cell	0.0471	21
GFOD3P	0.4421	enteric neuron	0.1654	21
SMIM1	0.8535	erythroblast	1.0209	21
LRRC47	0.2449	interstitial cell of Cajal	0.4641	21
ENSG00000272153	0.8357	interstitial cell of Cajal	0.0056	21
CEP104	0.3624	endothelial cell of artery	0.1747	21
DFFB	0.4316	neural crest cell	0.0538	21
C1orf174	0.2969	interstitial cell of Cajal	0.3420	21
LINC01134	0.7492	mesothelial cell	0.0096	21
LINC01346	0.9641	fibroblast	0.0014	21
LINC01777	0.9700	pericyte	0.0023	21
AJAP1	0.8394	fibroblast	0.0217	21
NPHP4	0.5172	enteric neuron	0.0573	21
KCNAB2	0.9289	hematopoietic cell	0.1894	21
CHD5	0.9801	enteric neuron	0.0642	21
RPL22	0.2315	stem cell	24.4953	21
RNF207-AS1	0.7686	stem cell	0.0085	21
RNF207	0.7835	myofibroblast cell	0.5831	21
ICMT	0.4139	interstitial cell of Cajal	0.3251	21
ICMT-DT	0.6990	colon epithelial cell	0.0103	21
GPR153	0.7578	enteric neuron	0.2614	21
ACOT7	0.7577	enteroendocrine cell	1.0429	21
ENSG00000271746	0.6634	enteroendocrine cell	0.0157	21
HES2	0.7592	interstitial cell of Cajal	0.0113	21
ESPN	0.8079	intestine goblet cell	0.5922	21
TNFRSF25	0.8536	endothelial cell of artery	0.3227	21
PLEKHG5	0.8065	endothelial cell of artery	0.2655	21
NOL9	0.4145	enteric neuron	0.2045	21
TAS1R1	0.8663	myofibroblast cell	0.0008	21
ZBTB48	0.4515	epithelial cell	0.1691	21
KLHL21	0.5907	enteric smooth muscle cell	0.1018	21
PHF13	0.4982	enteric smooth muscle cell	0.1486	21
THAP3	0.3577	interstitial cell of Cajal	0.2713	21
DNAJC11	0.2031	vein endothelial cell	0.2138	21
LINC01672	0.8165	mesodermal cell	0.0011	21
CAMTA1-DT	0.7453	endothelial cell of lymphatic vessel	0.0061	21
CAMTA1	0.3182	vein endothelial cell	2.0386	21
CAMTA1-AS1	0.9963	vein endothelial cell	0.0010	21
ENSG00000270171	0.9456	enteric neuron	0.0039	21
ENSG00000270035	0.8154	colon epithelial cell	0.0049	21
ENSG00000269978	0.8296	enteric neuron	0.0053	21
VAMP3	0.5730	endothelial cell of artery	1.0105	21
PER3	0.6303	enteric smooth muscle cell	0.0846	21
ENSG00000236266	0.6893	myofibroblast cell	0.0041	21
UTS2	0.9303	hematopoietic cell	0.0188	21
TNFRSF9	0.9102	endothelial cell of artery	0.0087	21
PARK7	0.3162	interstitial cell of Cajal	4.8516	21
ERRFI1	0.5993	endothelial cell of lymphatic vessel	0.4497	21
ERRFI1-DT	0.7723	fibroblast	0.0092	21
LINC01714	0.9360	mesothelial cell	0.0013	21
SLC45A1	0.7315	myofibroblast cell	0.0650	21
RERE	0.4559	interstitial cell of Cajal	0.9643	21
RERE-AS1	0.8304	hematopoietic cell	0.0040	21
ENSG00000228423	0.8402	enteroendocrine cell	0.0037	21
ENO1	0.3950	enterocyte	8.1198	21
ENO1-AS1	0.5513	colon epithelial cell	0.0134	21
CA6	0.8869	endothelial cell of lymphatic vessel	0.0077	21
SLC2A7	0.9733	endothelial cell of lymphatic vessel	0.0125	21
SLC2A5	0.8253	enterocyte	0.1170	21
GPR157	0.7349	enterocyte	0.0585	21
MIR34AHG	0.8159	vein endothelial cell	0.0073	21
LNCTAM34A	0.8419	vein endothelial cell	0.0095	21
H6PD	0.3957	mesodermal cell	0.2747	21
SPSB1	0.8284	myofibroblast cell	0.7502	21
SLC25A33	0.5971	enteroendocrine cell	0.4863	21
TMEM201	0.3922	endothelial cell of lymphatic vessel	0.1011	21
PIK3CD	0.9334	hematopoietic cell	0.2780	21
PIK3CD-AS1	0.9950	hematopoietic cell	0.0097	21
PIK3CD-AS2	0.5912	enteroendocrine cell	0.1902	21
CLSTN1	0.4874	endothelial cell of artery	0.6547	21
CTNNBIP1	0.7403	endothelial cell of artery	1.9621	21
ENSG00000223989	0.9299	colon epithelial cell	0.0008	21
LZIC	0.3675	interstitial cell of Cajal	0.4194	21
NMNAT1	0.4872	endothelial cell of lymphatic vessel	0.1543	21
RBP7	0.9222	endothelial cell of artery	0.9114	21
UBE4B	0.3647	enteric neuron	0.2645	21
KIF1B	0.7272	enteric neuron	1.1534	21
PGD	0.4259	enteric neuron	1.0827	21
ENSG00000271989	0.7706	interstitial cell of Cajal	0.0042	21
CENPS-CORT	0.5033	neural crest cell	0.0208	21
CENPS	0.3514	intestine goblet cell	0.1774	21
CORT	0.8586	vein endothelial cell	0.0214	21
DFFA	0.3766	endothelial cell of lymphatic vessel	0.5507	21
ENSG00000203469	0.8125	fibroblast	0.0014	21
PEX14	0.3653	enterocyte	0.2673	21
CASZ1	0.8170	enteric smooth muscle cell	0.3361	21
ENSG00000272078	0.8491	enteroendocrine cell	0.0043	21
C1orf127	0.9720	enteroendocrine cell	0.0335	21
TARDBP	0.3945	neural crest cell	0.8959	21
MASP2	0.9733	pericyte	0.0026	21
SRM	0.3818	vein endothelial cell	0.9531	21
EXOSC10	0.4028	neural crest cell	0.3948	21
EXOSC10-AS1	0.7887	enteroendocrine cell	0.0275	21
MTOR	0.4375	enteric neuron	0.1487	21
MTOR-AS1	0.9830	mesodermal cell	0.0002	21
ANGPTL7	0.9638	neural crest cell	0.0143	21
UBIAD1	0.4366	endothelial cell of lymphatic vessel	0.1865	21
DISP3	0.9629	enteric neuron	0.0898	21
LINC01647	0.9321	colon epithelial cell	0.0011	21
