gene	colon epithelial cell	endothelial cell of artery	endothelial cell of lymphatic vessel	enteric neuron	enteric smooth muscle cell	enterocyte	enteroendocrine cell	epithelial cell	erythroblast	fibroblast	hematopoietic cell	interstitial cell of Cajal	intestine goblet cell	mesodermal cell	mesothelial cell	myofibroblast cell	neural crest cell	pericyte	progenitor cell	stem cell	vein endothelial cell
ENSG00000239945	0.0004	0.0000	0.0000	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0004
DDX11L17	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
WASH9P	0.2715	0.2872	0.2586	0.4390	0.3261	0.2194	0.2618	0.3293	0.0604	0.3872	0.2716	0.4244	0.2269	0.4541	0.3611	0.3680	0.4035	0.4001	0.2935	0.2270	0.2845
ENSG00000228463	0.1742	0.4158	0.3024	0.2881	0.3589	0.1150	0.1625	0.1532	0.0447	0.4097	0.2570	0.5006	0.1038	0.3459	0.1914	0.6214	0.2696	0.6428	0.1524	0.1120	0.3343
ENSG00000237094	0.0053	0.0011	0.0358	0.0086	0.0165	0.0026	0.0065	0.0056	0.0011	0.0234	0.0077	0.0251	0.0007	0.0206	0.0129	0.0173	0.0104	0.0501	0.0026	0.0067	0.0119
ENSG00000230021	0.0004	0.0005	0.0000	0.0000	0.0009	0.0001	0.0000	0.0000	0.0000	0.0010	0.0000	0.0048	0.0000	0.0011	0.0002	0.0014	0.0006	0.0032	0.0000	0.0000	0.0011
ENSG00000229905	0.0001	0.0000	0.0032	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007
LINC01409	0.0321	0.0258	0.0192	0.0458	0.0451	0.0158	0.0332	0.0252	0.0087	0.0536	0.0371	0.0150	0.0251	0.0575	0.0578	0.0302	0.0453	0.0639	0.0225	0.0122	0.0195
FAM87B	0.0003	0.0019	0.0000	0.0001	0.0057	0.0001	0.0000	0.0000	0.0000	0.0108	0.0008	0.0023	0.0000	0.0074	0.0014	0.0078	0.0000	0.0062	0.0000	0.0000	0.0011
LINC00115	0.0371	0.0124	0.0026	0.0224	0.0188	0.0213	0.0231	0.0205	0.0113	0.0288	0.0176	0.0341	0.0279	0.0271	0.0554	0.0224	0.0190	0.0368	0.0245	0.0137	0.0209
FAM41C	0.0127	0.0148	0.0383	0.0176	0.0341	0.0060	0.0169	0.0052	0.0066	0.0086	0.0270	0.0213	0.0103	0.0153	0.0363	0.0124	0.0176	0.0163	0.0112	0.0079	0.0167
ENSG00000272438	0.0000	0.0000	0.0000	0.0006	0.0012	0.0002	0.0000	0.0000	0.0000	0.0013	0.0000	0.0000	0.0000	0.0006	0.0004	0.0011	0.0008	0.0000	0.0000	0.0000	0.0002
LINC02593	0.0000	0.0019	0.0000	0.0520	0.0199	0.0002	0.0060	0.0000	0.0015	0.0228	0.0000	0.0031	0.0000	0.0060	0.0266	0.0212	0.0023	0.0061	0.0006	0.0015	0.0040
SAMD11	0.0057	0.0087	0.0220	0.7039	0.2947	0.0042	0.0768	0.0195	0.0133	0.2109	0.0125	0.0318	0.0022	0.0848	0.2106	0.3046	0.0454	0.0437	0.0031	0.0162	0.0411
NOC2L	0.4494	0.4765	0.3651	0.6729	0.4943	0.4128	0.4297	0.4271	0.0767	0.4220	0.3229	0.4804	0.3924	0.4426	0.4237	0.4495	0.5410	0.3823	0.4352	0.4731	0.4817
KLHL17	0.0088	0.0141	0.0021	0.0485	0.0163	0.0032	0.0139	0.0000	0.0032	0.0117	0.0123	0.0125	0.0020	0.0198	0.0217	0.0105	0.0196	0.0086	0.0099	0.0052	0.0074
PLEKHN1	0.0013	0.0000	0.0000	0.0016	0.0007	0.0005	0.0000	0.0000	0.0000	0.0019	0.0007	0.0000	0.0000	0.0011	0.2540	0.0000	0.0003	0.0000	0.0058	0.0006	0.0000
PERM1	0.0000	0.0000	0.0000	0.0004	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0070	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000
ENSG00000272512	0.0034	0.0300	0.0000	0.0039	0.0038	0.0011	0.0033	0.0000	0.0016	0.0173	0.0000	0.0026	0.0012	0.0049	0.0039	0.0011	0.0105	0.0451	0.0031	0.0014	0.0017
HES4	0.2358	2.0718	0.1874	0.5461	0.4704	0.1113	0.1447	0.1050	0.0606	1.3208	0.0749	0.4680	0.1507	0.6120	0.3860	0.3451	0.8327	4.6543	0.1320	0.1346	0.2975
ISG15	0.1056	1.5713	0.7631	0.1469	0.7670	0.1208	0.1087	0.1282	0.0742	0.6462	0.8049	0.7022	0.0762	0.6094	0.2843	0.5964	0.1324	0.7932	0.1130	0.0614	1.0332
ENSG00000224969	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AGRN	0.4567	1.0164	0.1567	0.3601	0.1459	0.1746	0.1487	0.2156	0.0400	0.5281	0.0485	0.7851	0.1678	0.3108	0.9496	0.1482	0.4272	1.2051	0.2078	0.1736	0.8011
RNF223	0.0159	0.0000	0.0000	0.0001	0.0001	0.0012	0.0050	0.0098	0.0000	0.0000	0.0000	0.0000	0.0082	0.0002	0.0000	0.0000	0.0000	0.0000	0.0013	0.0021	0.0000
C1orf159	0.0673	0.0709	0.0515	0.0791	0.0587	0.0516	0.0620	0.0451	0.0088	0.0650	0.0354	0.0806	0.0596	0.0767	0.0561	0.0680	0.0808	0.0760	0.0663	0.0524	0.0603
LINC01342	0.0014	0.0000	0.0000	0.0000	0.0001	0.0010	0.0004	0.0000	0.0000	0.0002	0.0000	0.0000	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000
ENSG00000272141	0.0566	0.0021	0.0000	0.0000	0.0016	0.0280	0.0606	0.0322	0.0017	0.0021	0.0007	0.0000	0.0465	0.0007	0.0042	0.0015	0.0015	0.0000	0.0334	0.0242	0.0002
TTLL10-AS1	0.0004	0.0000	0.0000	0.0006	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0019	0.0000	0.0000	0.0000	0.0024	0.0000	0.0000	0.0000	0.0000	0.0001	0.0004
TTLL10	0.0065	0.0061	0.0000	0.0025	0.0002	0.0015	0.0215	0.0000	0.0000	0.0003	0.0079	0.0000	0.0053	0.0006	0.0029	0.0000	0.0009	0.0011	0.0027	0.0028	0.0015
TNFRSF18	0.0000	0.0265	0.0287	0.0005	0.0011	0.0001	0.0000	0.0000	0.0000	0.0023	0.0426	0.0054	0.0000	0.0025	0.0252	0.0014	0.0002	0.0013	0.0000	0.0000	0.0045
TNFRSF4	0.0004	2.0038	0.4144	0.0016	0.0021	0.0003	0.0000	0.0000	0.0080	0.0190	0.0330	0.0131	0.0013	0.0060	0.0046	0.0040	0.0017	0.0094	0.0015	0.0003	0.4332
SDF4	0.9088	1.3934	1.0905	0.5883	0.6198	0.9126	0.7175	0.7631	0.2386	1.0512	0.6720	1.0748	0.7663	0.7556	1.0240	0.9380	0.6400	0.9586	0.8056	0.7026	1.0891
B3GALT6	0.1152	0.1554	0.1030	0.1028	0.0902	0.0440	0.0600	0.0305	0.0086	0.0990	0.0744	0.1082	0.0595	0.0963	0.0830	0.0687	0.0898	0.0955	0.0548	0.0484	0.1085
C1QTNF12	0.0194	0.0289	0.0018	0.0070	0.0067	0.1153	0.0094	0.0094	0.0018	0.0236	0.0036	0.0059	0.0360	0.0068	0.0794	0.0116	0.0025	0.0093	0.0256	0.0191	0.0142
ENSG00000260179	0.0001	0.0000	0.0000	0.0000	0.0002	0.0001	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0002	0.0000	0.0006	0.0000	0.0000	0.0001	0.0000	0.0000
UBE2J2	0.3239	0.4641	0.4349	0.4478	0.4455	0.2709	0.3465	0.2144	0.0950	0.4387	0.3068	0.4737	0.3145	0.4272	0.3885	0.4626	0.4191	0.4972	0.2577	0.2515	0.4623
LINC01786	0.0000	0.0029	0.0000	0.0077	0.0007	0.0002	0.0012	0.0000	0.0000	0.0020	0.0008	0.0041	0.0000	0.0028	0.0014	0.0054	0.0037	0.0033	0.0001	0.0001	0.0000
SCNN1D	0.0044	0.0057	0.0178	0.0224	0.0084	0.0019	0.0031	0.0000	0.0016	0.0135	0.0048	0.0036	0.0038	0.0173	0.0130	0.0160	0.0176	0.0156	0.0078	0.0042	0.0051
ACAP3	0.1446	0.1939	0.1158	0.8022	0.1690	0.1206	0.3336	0.0494	0.0273	0.2092	0.0972	0.1453	0.1235	0.1533	0.1167	0.1655	0.4027	0.1991	0.1637	0.0865	0.1361
PUSL1	0.1186	0.1053	0.0740	0.1481	0.0923	0.1696	0.2016	0.2210	0.0220	0.1071	0.1476	0.1259	0.1827	0.0904	0.1409	0.0905	0.1733	0.1081	0.1416	0.1408	0.1335
INTS11	0.5069	0.4802	0.5388	0.5594	0.4592	0.4702	0.4290	0.5876	0.0627	0.4152	0.3861	0.4650	0.4079	0.4984	0.6280	0.4028	0.5494	0.4264	0.5040	0.5218	0.5629
CPTP	0.1197	0.2684	0.2960	0.1327	0.1429	0.1020	0.0815	0.0901	0.0265	0.1481	0.0800	0.1927	0.1015	0.1481	0.1481	0.1668	0.1056	0.1295	0.1024	0.0779	0.1613
TAS1R3	0.0001	0.0027	0.0000	0.0019	0.0006	0.0002	0.0000	0.0000	0.0028	0.0002	0.0004	0.0000	0.0000	0.0011	0.0007	0.0000	0.0009	0.0047	0.0003	0.0002	0.0000
DVL1	0.1014	0.0918	0.0800	0.0686	0.0527	0.0707	0.0957	0.0564	0.0113	0.0484	0.0368	0.0551	0.0818	0.0525	0.0841	0.0418	0.0741	0.0492	0.0963	0.0642	0.0692
MXRA8	0.5373	0.0273	0.1020	0.4605	0.5015	0.6372	0.2136	0.3516	0.0502	1.0822	0.0424	0.9536	0.2788	0.7845	0.2163	1.0838	0.5006	0.9863	0.3618	0.3073	0.0346
AURKAIP1	1.7224	1.7631	1.9614	1.7398	1.4119	2.1420	2.0975	1.9116	0.5002	1.3656	1.5305	1.5193	2.3430	1.3444	1.3719	1.3127	1.6384	1.6937	1.8689	1.9166	1.7602
CCNL2	0.4980	0.7074	0.4854	0.5302	0.5657	0.3496	0.4260	0.4814	0.0913	0.4941	0.2890	0.5494	0.3415	0.5612	0.4657	0.4767	0.5094	0.5122	0.4868	0.3547	0.5049
MRPL20	1.5748	1.4217	1.4263	1.5536	1.4879	1.5639	1.5179	1.3239	0.3904	1.3385	1.1654	1.5481	1.6376	1.2481	1.4802	1.6483	1.3235	1.3541	1.4458	1.5023	1.3608
MRPL20-DT	0.0041	0.0000	0.0000	0.0045	0.0040	0.0030	0.0031	0.0009	0.0009	0.0031	0.0007	0.0102	0.0033	0.0036	0.0076	0.0007	0.0013	0.0047	0.0040	0.0040	0.0017
ANKRD65	0.0084	0.0255	0.0086	0.0496	0.0640	0.0021	0.1851	0.0000	0.0048	0.0439	0.0084	0.0290	0.0177	0.0382	0.0298	0.1101	0.0141	0.0090	0.0027	0.0098	0.0379
ANKRD65-AS1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000
LINC01770	0.0009	0.0047	0.0000	0.0005	0.0189	0.0010	0.0014	0.0016	0.0000	0.0018	0.0003	0.0111	0.0000	0.0028	0.0020	0.0239	0.0036	0.0000	0.0003	0.0006	0.0055
VWA1	0.2003	0.5384	0.0794	0.1017	0.2503	0.1389	0.1403	0.2461	0.0157	0.1622	0.0131	0.2018	0.1297	0.1115	0.0595	0.7433	0.1243	0.0725	0.0830	0.1199	0.6142
ATAD3C	0.0079	0.0153	0.0294	0.0104	0.0156	0.0030	0.0265	0.0042	0.0023	0.0097	0.0115	0.0086	0.0015	0.0126	0.0064	0.0225	0.0095	0.0120	0.0057	0.0052	0.0147
ATAD3B	0.0897	0.1098	0.0515	0.0696	0.0709	0.0774	0.0942	0.0733	0.0403	0.0676	0.0931	0.0686	0.0773	0.0748	0.0714	0.0715	0.0884	0.0856	0.0954	0.0679	0.1196
ATAD3A	0.1620	0.1717	0.2216	0.1527	0.1550	0.2010	0.1923	0.1645	0.0557	0.1498	0.1469	0.1485	0.2177	0.1422	0.1205	0.1459	0.2438	0.1932	0.2082	0.1961	0.2508
TMEM240	0.0003	0.0047	0.0070	0.0076	0.0060	0.0003	0.0002	0.0000	0.0000	0.0062	0.0029	0.0074	0.0027	0.0065	0.0088	0.0042	0.0052	0.0087	0.0006	0.0002	0.0021
SSU72	1.0334	1.3737	1.2304	1.2236	1.2461	0.8466	1.0612	0.9635	0.2225	1.1664	1.2301	1.2341	0.8589	1.1933	1.2041	1.2900	0.9336	1.2214	0.9345	0.8670	1.2208
SSU72-AS1	0.0270	0.0095	0.0153	0.0214	0.0366	0.0149	0.0281	0.0030	0.0084	0.0445	0.0207	0.0351	0.0170	0.0604	0.0438	0.0448	0.0169	0.0383	0.0268	0.0158	0.0170
FNDC10	0.0086	0.0048	0.0000	0.0194	0.0075	0.0021	0.0087	0.0000	0.0019	0.0125	0.0285	0.0182	0.0008	0.0084	0.0201	0.0088	0.0114	0.0143	0.0042	0.0030	0.0095
ENSG00000272106	0.2151	0.1014	0.0799	0.2450	0.2410	0.0811	0.1110	0.1052	0.0176	0.2028	0.0470	0.2203	0.0807	0.3119	0.2485	0.1826	0.2313	0.1713	0.1246	0.0803	0.0941
MIB2	0.1997	0.1334	0.1991	0.2047	0.1747	0.1015	0.1820	0.1847	0.0251	0.1641	0.1306	0.2130	0.1380	0.1828	0.2752	0.1734	0.1597	0.1387	0.1260	0.1146	0.1373
MMP23B	0.0221	0.0363	0.0305	0.0219	0.1114	0.0341	0.0480	0.0606	0.0340	0.7292	0.0466	0.1964	0.0154	0.3198	1.3481	0.4722	0.0132	0.1211	0.0547	0.0337	0.0392
CDK11B	0.2079	0.5027	0.4434	0.3258	0.3328	0.1436	0.1929	0.0709	0.0692	0.3428	0.2801	0.3531	0.1656	0.3553	0.2555	0.3691	0.2928	0.3161	0.1594	0.1188	0.4662
ENSG00000272004	0.0025	0.0030	0.0000	0.0049	0.0032	0.0024	0.0027	0.0105	0.0032	0.0025	0.0013	0.0000	0.0022	0.0026	0.0007	0.0052	0.0016	0.0075	0.0032	0.0021	0.0030
SLC35E2B	0.2756	0.4420	0.3678	0.5850	0.2963	0.1657	0.3053	0.1694	0.0407	0.4973	0.2139	0.4042	0.2028	0.4813	0.3414	0.3687	0.3684	0.3586	0.2196	0.1925	0.3578
ENSG00000269737	0.0021	0.0029	0.0010	0.0021	0.0010	0.0008	0.0013	0.0000	0.0000	0.0024	0.0000	0.0015	0.0000	0.0027	0.0020	0.0011	0.0014	0.0026	0.0005	0.0009	0.0020
CDK11A	0.0984	0.2976	0.1887	0.1630	0.1666	0.0702	0.0870	0.0388	0.0603	0.2029	0.1263	0.1799	0.0725	0.1991	0.1454	0.2148	0.1593	0.1896	0.1063	0.0581	0.3074
SLC35E2A	0.0190	0.0346	0.0104	0.0739	0.0245	0.0116	0.0142	0.0272	0.0070	0.0440	0.0226	0.0489	0.0073	0.0490	0.0529	0.0291	0.0412	0.0398	0.0174	0.0169	0.0374
NADK	0.2220	0.2213	0.2602	0.1901	0.1559	0.1818	0.1871	0.1903	0.0316	0.1376	0.3490	0.1025	0.1823	0.1529	0.1676	0.1368	0.2038	0.1862	0.2020	0.1543	0.2160
GNB1	0.5088	1.4115	1.2701	1.1900	0.7529	0.5099	0.8576	0.4914	0.0919	0.6648	0.8897	0.7101	0.5776	0.6487	0.4523	0.5994	0.7146	0.8628	0.5219	0.4304	1.0714
GNB1-DT	0.0146	0.0000	0.0065	0.0133	0.0028	0.0168	0.0164	0.0045	0.0008	0.0063	0.0038	0.0028	0.0166	0.0045	0.0067	0.0050	0.0041	0.0085	0.0099	0.0156	0.0033
CALML6	0.0002	0.0010	0.0000	0.0003	0.0001	0.0005	0.0000	0.0000	0.0000	0.0008	0.0029	0.0000	0.0000	0.0013	0.0002	0.0015	0.0004	0.0356	0.0002	0.0004	0.0001
TMEM52	0.1306	0.0113	0.0000	0.0117	0.0080	0.1540	0.0716	0.0617	0.0102	0.0056	0.0007	0.0111	0.1021	0.0101	0.0257	0.0057	0.0153	0.0326	0.1032	0.1172	0.0038
CFAP74	0.0037	0.0163	0.0046	0.0021	0.0028	0.0065	0.0020	0.0000	0.0003	0.0035	0.0009	0.0022	0.0093	0.0026	0.0026	0.0031	0.0031	0.0089	0.0059	0.0050	0.0075
ENSG00000233542	0.0001	0.0126	0.0093	0.0000	0.0038	0.0002	0.0000	0.0000	0.0000	0.0007	0.0003	0.0000	0.0000	0.0017	0.0023	0.0000	0.0002	0.0042	0.0001	0.0000	0.0117
GABRD	0.0033	0.0931	0.0217	0.0019	0.0035	0.0003	0.0003	0.0000	0.0000	0.0127	0.0006	0.0085	0.0004	0.0078	0.0067	0.0000	0.0072	0.0463	0.0001	0.0002	0.0857
PRKCZ-DT	0.0003	0.0000	0.0000	0.0000	0.0000	0.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0004	0.0000	0.0000	0.0000	0.0009	0.0027	0.0000
PRKCZ	0.3920	0.1409	0.4425	0.3414	0.0578	0.4877	0.3366	0.3791	0.0077	0.0507	0.0321	0.0297	0.4182	0.0605	0.2444	0.0462	0.0517	0.0313	0.3723	0.4368	0.0512
ENSG00000271806	0.0309	0.0311	0.0348	0.0108	0.0028	0.0172	0.0170	0.0061	0.0000	0.0094	0.0071	0.0076	0.0089	0.0058	0.0121	0.0079	0.0032	0.0062	0.0127	0.0186	0.0052
PRKCZ-AS1	0.0064	0.0073	0.0034	0.0092	0.0303	0.0016	0.0067	0.0046	0.0002	0.0185	0.0052	0.0257	0.0017	0.0275	0.0116	0.0357	0.0098	0.0149	0.0037	0.0020	0.0063
FAAP20	1.1335	1.4566	1.1512	0.9947	1.5527	1.0566	1.0954	1.1572	0.1744	1.3769	0.9671	2.0497	1.2067	1.4664	0.8756	1.8361	1.0278	1.4495	1.1792	1.0166	1.1706
ENSG00000234396	0.0008	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0008	0.0004	0.0010	0.0004	0.0000	0.0013	0.0021	0.0000	0.0000
SKI	0.1162	0.5024	0.2091	0.1971	0.3009	0.0751	0.0964	0.0591	0.0193	0.3290	0.1233	0.3070	0.1011	0.2908	0.4137	0.3391	0.1796	0.3138	0.0876	0.0893	0.3030
MORN1	0.0425	0.0230	0.0328	0.0369	0.0307	0.0334	0.0419	0.0476	0.0034	0.0346	0.0096	0.0270	0.0242	0.0429	0.0757	0.0337	0.0392	0.0386	0.0369	0.0433	0.0224
RER1	0.8118	1.0364	0.9805	0.5017	0.5244	0.9220	0.6599	0.5888	0.1826	0.7571	0.7890	0.7535	0.7781	0.5909	0.6191	0.6079	0.5407	0.6789	0.7799	0.7618	0.8246
PEX10	0.3136	0.2234	0.1945	0.2228	0.2117	0.2615	0.2503	0.2402	0.0340	0.2184	0.1529	0.2242	0.2484	0.2291	0.2008	0.1784	0.2723	0.2408	0.2854	0.2830	0.2100
PLCH2	0.0008	0.0000	0.0000	0.0097	0.0007	0.0024	0.0111	0.0000	0.0000	0.0021	0.0013	0.0000	0.0007	0.0016	0.0017	0.0017	0.0006	0.0011	0.0002	0.0004	0.0000
ENSG00000224387	0.0004	0.0000	0.0000	0.0000	0.0001	0.0002	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0011	0.0016	0.0000	0.0000	0.0002
PANK4	0.0795	0.1298	0.1196	0.0983	0.0778	0.0597	0.0704	0.0806	0.0097	0.1127	0.0588	0.1263	0.0520	0.1112	0.0707	0.1086	0.1106	0.1242	0.0540	0.0433	0.1312
HES5	0.0001	0.1578	0.0028	0.0252	0.0007	0.0003	0.0000	0.0000	0.0000	0.0026	0.0000	0.0000	0.0003	0.0008	0.0000	0.0019	0.0762	0.0360	0.0000	0.0000	0.0008
ENSG00000272449	0.0219	0.0813	0.0409	0.0073	0.0009	0.0064	0.0133	0.0067	0.0164	0.0057	0.0518	0.0000	0.0163	0.0016	0.0027	0.0017	0.0216	0.2644	0.0041	0.0095	0.0127
TNFRSF14-AS1	0.1001	0.0316	0.0000	0.0021	0.0034	0.0852	0.0266	0.0441	0.0019	0.0016	0.0156	0.0017	0.0565	0.0019	0.0005	0.0011	0.0010	0.0016	0.0349	0.0315	0.0215
TNFRSF14	0.2693	0.2124	0.4192	0.0072	0.0325	0.2911	0.1405	0.2216	0.0136	0.0762	0.3173	0.1407	0.2195	0.0538	0.0257	0.0954	0.0084	0.0567	0.0818	0.1774	0.2051
ENSG00000228037	0.0060	0.0061	0.0099	0.0000	0.0001	0.0016	0.0006	0.0082	0.0000	0.0000	0.0031	0.0000	0.0034	0.0005	0.0000	0.0000	0.0000	0.0018	0.0016	0.0002	0.0042
PRXL2B	0.3412	0.4233	0.3751	0.2161	0.1999	0.3068	0.2284	0.2586	0.0302	0.1544	0.0427	0.1354	0.2857	0.1810	0.2051	0.1336	0.2173	0.1670	0.2643	0.2625	0.3265
MMEL1	0.0304	0.0310	0.0048	0.0104	0.0118	0.0065	0.0002	0.0076	0.0000	0.0057	0.0000	0.0059	0.0083	0.0096	0.2078	0.0159	0.0043	0.0049	0.0041	0.0085	0.0114
MMEL1-AS1	0.6458	0.0008	0.0000	0.0029	0.0074	0.1156	0.0591	0.0310	0.0063	0.0015	0.0007	0.0016	0.1390	0.0030	0.0028	0.0018	0.0032	0.0009	0.0996	0.0909	0.0018
TTC34	0.0200	0.0113	0.0021	0.0040	0.0043	0.0130	0.0109	0.0037	0.0019	0.0098	0.0021	0.0071	0.0151	0.0052	0.0114	0.0081	0.0066	0.0109	0.0053	0.0179	0.0029
ACTRT2	0.0000	0.0000	0.0000	0.0000	0.0001	0.0009	0.0071	0.0000	0.0000	0.0003	0.0000	0.0000	0.0009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0020	0.0016	0.0000
PRDM16-DT	0.0096	0.1415	0.0031	0.0030	0.0014	0.1144	0.2786	0.1962	0.0014	0.0003	0.0000	0.0016	0.0694	0.0005	0.0012	0.0007	0.0121	0.0218	0.0683	0.0955	0.0022
PRDM16	0.0136	0.1754	0.0031	0.0066	0.0017	0.1123	0.1348	0.1166	0.0000	0.0038	0.0015	0.0000	0.0723	0.0030	0.0043	0.0018	0.0225	0.0229	0.0532	0.0907	0.0067
ENSG00000226286	0.0089	0.0000	0.0000	0.0000	0.0001	0.0059	0.0116	0.0194	0.0000	0.0010	0.0000	0.0000	0.0073	0.0001	0.0000	0.0000	0.0000	0.0000	0.0034	0.0059	0.0000
ENSG00000272235	0.0003	0.0041	0.0000	0.0000	0.0000	0.0008	0.0008	0.0015	0.0000	0.0002	0.0000	0.0000	0.0034	0.0002	0.0005	0.0000	0.0003	0.0000	0.0005	0.0010	0.0006
ARHGEF16	0.2137	0.0011	0.0000	0.0147	0.0036	0.1460	0.1312	0.2010	0.0025	0.0117	0.0028	0.0018	0.1829	0.0059	0.0114	0.0057	0.0432	0.0214	0.1375	0.1226	0.0035
ENSG00000272088	0.0032	0.0000	0.0000	0.0014	0.0001	0.0019	0.0019	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0014	0.0000	0.0003	0.0006	0.0008	0.0014	0.0000
MEGF6	0.0444	0.2638	0.2902	0.0383	0.0205	0.0131	0.0284	0.0130	0.0110	0.2013	0.0287	0.0317	0.0154	0.0972	0.2996	0.1027	0.1041	0.1422	0.0263	0.0150	0.1086
ENSG00000238260	0.0011	0.0000	0.0000	0.0063	0.0017	0.0029	0.0018	0.0000	0.0008	0.0031	0.0015	0.0044	0.0033	0.0032	0.0057	0.0042	0.0016	0.0037	0.0015	0.0018	0.0021
TPRG1L	0.1256	0.1194	0.0791	0.0623	0.0717	0.2035	0.1831	0.0986	0.0311	0.0767	0.0813	0.0646	0.1380	0.0669	0.0550	0.0937	0.0406	0.0794	0.1543	0.1185	0.0794
WRAP73	0.1233	0.2214	0.1415	0.1575	0.1290	0.1038	0.1369	0.1004	0.0249	0.1177	0.1365	0.1438	0.1228	0.1331	0.1261	0.1414	0.2049	0.1205	0.1174	0.1076	0.1580
TP73	0.0041	0.0041	0.0000	0.0075	0.0039	0.0039	0.0471	0.0012	0.0032	0.0091	0.0082	0.0094	0.0085	0.0111	0.0055	0.0032	0.0109	0.0141	0.0067	0.0040	0.0060
GFOD3P	0.0895	0.1171	0.0765	0.1654	0.1372	0.0539	0.0745	0.0383	0.0184	0.1203	0.0598	0.1324	0.0683	0.1291	0.1075	0.1271	0.1495	0.1197	0.0709	0.0579	0.0978
SMIM1	0.1909	0.0225	0.0248	0.0446	0.0855	0.3454	0.1748	0.1200	1.0209	0.1765	0.2122	0.1817	0.1637	0.1185	0.4276	0.2236	0.0394	0.0873	0.1712	0.1621	0.0197
LRRC47	0.3673	0.2790	0.2605	0.4587	0.3955	0.3348	0.3898	0.4032	0.0526	0.3758	0.2337	0.4641	0.3016	0.4328	0.4126	0.4316	0.4464	0.3587	0.3757	0.3482	0.3497
ENSG00000272153	0.0011	0.0000	0.0000	0.0000	0.0015	0.0017	0.0000	0.0000	0.0000	0.0020	0.0003	0.0056	0.0000	0.0024	0.0033	0.0025	0.0017	0.0000	0.0005	0.0014	0.0001
CEP104	0.1011	0.1747	0.0789	0.1731	0.1215	0.0863	0.1356	0.0880	0.0174	0.1503	0.1252	0.1348	0.0766	0.1331	0.1243	0.1299	0.0925	0.1420	0.1030	0.0777	0.1368
DFFB	0.0368	0.0289	0.0046	0.0452	0.0303	0.0305	0.0433	0.0387	0.0028	0.0349	0.0370	0.0347	0.0309	0.0403	0.0159	0.0313	0.0538	0.0274	0.0421	0.0305	0.0252
C1orf174	0.2730	0.2218	0.2057	0.2069	0.3262	0.2288	0.2055	0.1861	0.0580	0.2385	0.2731	0.3420	0.2124	0.3015	0.2390	0.2766	0.3413	0.3251	0.2439	0.2047	0.2418
LINC01134	0.0032	0.0022	0.0000	0.0008	0.0010	0.0071	0.0026	0.0013	0.0015	0.0018	0.0021	0.0000	0.0041	0.0020	0.0096	0.0003	0.0015	0.0028	0.0062	0.0061	0.0016
LINC01346	0.0003	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0014	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000
LINC01777	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0007	0.0023	0.0000	0.0000	0.0000
AJAP1	0.0007	0.0009	0.0109	0.0159	0.0048	0.0004	0.0000	0.0000	0.0000	0.0217	0.0021	0.0055	0.0000	0.0071	0.0080	0.0063	0.0021	0.0026	0.0012	0.0000	0.0014
NPHP4	0.0367	0.0297	0.0282	0.0573	0.0216	0.0246	0.0355	0.0384	0.0045	0.0208	0.0184	0.0387	0.0303	0.0256	0.0379	0.0143	0.0387	0.0250	0.0296	0.0265	0.0281
