gene	colon epithelial cell	endothelial cell of artery	endothelial cell of lymphatic vessel	enteric neuron	enteric smooth muscle cell	enterocyte	enteroendocrine cell	epithelial cell	erythroblast	fibroblast	hematopoietic cell	interstitial cell of Cajal	intestine goblet cell	mesodermal cell	mesothelial cell	myofibroblast cell	neural crest cell	pericyte	progenitor cell	stem cell	vein endothelial cell
AOC1	0.2296	0.0018	0.0000	0.0015	0.0035	0.3040	0.0902	0.2160	0.0023	0.0014	0.0000	0.0034	0.2107	0.0007	0.0029	0.0036	0.0018	0.0023	0.1196	0.1529	0.0011
KCNH2	0.0104	0.0090	0.0124	0.1434	0.4708	0.0033	0.1157	0.0041	0.2741	0.1579	0.0353	0.1571	0.0190	0.1535	0.1941	0.2510	0.0256	0.1084	0.0047	0.0090	0.0222
NOS3	0.0195	0.6216	0.1652	0.0075	0.0084	0.0375	0.0230	0.0577	0.0007	0.0413	0.0033	0.0248	0.0331	0.0225	0.0303	0.0411	0.0032	0.0309	0.0169	0.0381	0.4676
ATG9B	0.0039	0.0031	0.0000	0.0191	0.0203	0.0051	0.0080	0.0023	0.0000	0.0102	0.0046	0.0157	0.0033	0.0191	0.0190	0.0351	0.0113	0.0083	0.0052	0.0032	0.0084
ABCB8	0.0597	0.0870	0.0899	0.1058	0.0862	0.0738	0.0820	0.0311	0.0229	0.1017	0.0867	0.1847	0.0657	0.0952	0.1149	0.1187	0.1030	0.1162	0.0481	0.0690	0.0921
ENSG00000243433	0.0002	0.0000	0.0000	0.0000	0.0004	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0051	0.0000	0.0004	0.0000	0.0006	0.0003	0.0000	0.0018	0.0000	0.0000
ASIC3	0.0007	0.0026	0.0041	0.0102	0.0100	0.0016	0.0003	0.0025	0.0012	0.0068	0.0047	0.0006	0.0013	0.0085	0.0041	0.0145	0.0088	0.0058	0.0023	0.0005	0.0019
CDK5	0.1017	0.1786	0.1693	0.3761	0.1303	0.0885	0.1615	0.0791	0.0301	0.1589	0.1922	0.1862	0.0824	0.1481	0.1695	0.1839	0.1791	0.1469	0.0928	0.0986	0.1908
SLC4A2	0.1578	0.2318	0.1521	0.0854	0.1548	0.1083	0.1272	0.1294	0.0238	0.1942	0.1158	0.2151	0.1002	0.1729	0.4404	0.1840	0.1379	0.1955	0.1173	0.1097	0.2258
ENSG00000244151	0.0002	0.0000	0.0000	0.0012	0.0001	0.0002	0.0000	0.0000	0.0000	0.0008	0.0006	0.0000	0.0000	0.0006	0.0006	0.0015	0.0006	0.0000	0.0001	0.0003	0.0004
FASTK	0.3989	0.4483	0.3464	0.3787	0.3663	0.4518	0.4672	0.2865	0.1067	0.4990	0.3119	0.4702	0.3710	0.4207	0.3562	0.4381	0.3272	0.4465	0.3492	0.3826	0.4128
TMUB1	0.5281	0.4114	0.2918	0.3586	0.3505	0.5887	0.5349	0.5271	0.0694	0.2517	0.3415	0.4272	0.5538	0.2679	0.3904	0.3318	0.2620	0.2451	0.4696	0.5048	0.3206
AGAP3	0.0393	0.1862	0.2440	0.1711	0.0864	0.0408	0.1518	0.0255	0.0141	0.1327	0.0867	0.1253	0.1104	0.1232	0.1992	0.1060	0.1262	0.0946	0.0483	0.0624	0.2608
IQCA1L	0.0000	0.0000	0.0000	0.0009	0.0005	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ABCF2	0.1508	0.2046	0.2763	0.2585	0.2138	0.1414	0.2315	0.2093	0.0536	0.1999	0.1669	0.2127	0.1234	0.2060	0.1831	0.1829	0.2643	0.2652	0.1730	0.1584	0.3097
CHPF2	0.0894	0.1938	0.1178	0.0812	0.0685	0.0599	0.0890	0.0326	0.0126	0.1531	0.1212	0.1052	0.0618	0.0804	0.0926	0.1139	0.0654	0.1437	0.0562	0.0523	0.1070
SMARCD3	0.0490	0.0415	0.0209	0.2390	0.4613	0.0246	0.0252	0.0533	0.0141	0.4261	0.0405	0.3304	0.0064	0.4326	0.4706	0.4470	0.1139	0.4056	0.0677	0.0274	0.0654
