gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	activated CD4-positive, alpha-beta T cell	activated CD8-positive, alpha-beta T cell	endothelial cell of arteriole	endothelial cell of lymphatic vessel	endothelial cell of venule	enterocyte of epithelium proper of duodenum	enterocyte of epithelium proper of ileum	enterocyte of epithelium proper of jejunum	enterocyte of epithelium proper of small intestine	enteroendocrine cell of small intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of small intestine	intestinal tuft cell	macrophage	mast cell	monocyte	myeloid dendritic cell	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	neutrophil	paneth cell of epithelium of small intestine	pericyte	plasma cell	regulatory T cell	small intestine goblet cell	transit amplifying cell of small intestine
ACCSL	0.0039	0.0028	0.0000	0.0003	0.0000	0.0000	0.0000	0.0271	0.0000	0.0004	0.0006	0.0000	0.0164	0.0000	0.0000	0.0029	0.0000	0.0000	0.0000	0.0033	0.0021	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0035	0.0000	0.0000	0.0022
CFAP96	0.0972	0.0842	0.1480	0.1188	0.1311	0.2051	0.0428	0.1482	0.3085	0.0363	0.0086	0.0523	0.0164	0.0402	0.1126	0.0221	0.0286	0.0435	0.0545	0.0307	0.0673	0.0239	0.1052	0.0000	0.0000	0.2149	0.0291	0.0000	0.0293	0.0900	0.1641	0.0831	0.1052	0.1174
TRIQK	0.0529	0.3351	0.0268	0.0125	0.0536	0.0429	0.3079	0.4062	0.5600	0.2138	0.2009	0.1714	0.0875	0.3997	0.4389	0.3903	0.0049	0.1058	0.2087	0.1155	0.1323	0.1314	0.3269	0.0441	0.9402	0.0000	0.0305	0.0563	0.1547	0.4034	0.0589	0.0000	0.5808	0.1160
SDHAF1	0.0996	0.0672	0.1082	0.0781	0.1039	0.0512	0.1070	0.1752	0.1094	0.1021	0.0913	0.0672	0.0727	0.1297	0.3617	0.2026	0.0412	0.1053	0.1430	0.0568	0.0467	0.0574	0.0870	0.0000	0.0477	0.1478	0.0996	0.0000	0.1432	0.0000	0.0643	0.1406	0.0584	0.0494
ARID3C	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0013	0.0035	0.0094	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0002	0.0000
PSENEN	0.2048	0.1640	0.2847	0.2339	0.1692	0.2383	0.2308	0.2262	0.2887	0.1669	0.2628	0.0718	0.0418	0.1946	0.2636	0.2308	0.3181	0.1833	0.1393	0.0634	0.1551	0.1088	0.1860	0.5962	0.1345	0.1690	0.1615	0.0996	0.2371	0.3538	0.2006	0.2330	0.1360	0.1603
LINC02903	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.0000	0.0000	0.0000
REXO1L1P	0.0011	0.0000	0.0004	0.0000	0.0000	0.0009	0.0000	0.0000	0.0000	0.0024	0.0000	0.0000	0.0055	0.0000	0.0000	0.0025	0.0000	0.0000	0.0003	0.0099	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0020	0.0000
C11orf91	0.0000	0.0029	0.0004	0.0003	0.0000	0.0000	0.0100	0.0000	0.0016	0.0037	0.0008	0.0000	0.0077	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0017	0.0000	0.0000	0.0000	0.0006	0.0000
LINC00654	0.0063	0.0405	0.0054	0.0104	0.0017	0.0167	0.0307	0.0000	0.0062	0.1278	0.0999	0.0883	0.0492	0.0391	0.0000	0.0494	0.0000	0.0359	0.0296	0.0513	0.0326	0.0356	0.0790	0.1355	0.0489	0.0675	0.0000	0.0363	0.0439	0.2776	0.0054	0.0000	0.0276	0.2345
