gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	activated CD4-positive, alpha-beta T cell	activated CD8-positive, alpha-beta T cell	endothelial cell of arteriole	endothelial cell of lymphatic vessel	endothelial cell of venule	enterocyte of epithelium proper of duodenum	enterocyte of epithelium proper of ileum	enterocyte of epithelium proper of jejunum	enterocyte of epithelium proper of small intestine	enteroendocrine cell of small intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of small intestine	intestinal tuft cell	macrophage	mast cell	monocyte	myeloid dendritic cell	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	neutrophil	paneth cell of epithelium of small intestine	pericyte	plasma cell	regulatory T cell	small intestine goblet cell	transit amplifying cell of small intestine
TSPAN6	0.0000	0.0988	0.0020	0.0019	0.0000	0.0066	0.2168	0.1883	0.5217	0.1606	0.1900	0.0837	0.0797	0.1430	0.1580	0.1117	0.0000	0.0000	0.2684	0.0168	0.0049	0.0073	0.0000	0.0000	0.0261	0.0000	0.0000	0.0000	0.3461	0.0000	0.0094	0.0000	0.0583	0.0568
TNMD	0.0000	0.0015	0.0000	0.0000	0.0000	0.0000	0.0480	0.0000	0.0084	0.0009	0.0002	0.0000	0.0015	0.0000	0.0098	0.0854	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000
DPM1	0.5452	0.4220	0.5466	0.6229	0.5993	0.5249	0.5872	0.4821	0.6431	0.3736	0.5023	0.5494	0.2715	0.4149	0.7809	0.5208	0.6469	0.7002	0.4456	0.3105	0.4043	0.4178	0.4888	0.1822	0.3557	0.5402	0.6815	0.1480	0.4163	0.7066	0.3371	0.2287	0.4337	0.3951
SCYL3	0.1259	0.2384	0.1107	0.1264	0.1573	0.1588	0.1316	0.1572	0.2424	0.1775	0.1426	0.2261	0.0774	0.1139	0.1650	0.0905	0.2605	0.1178	0.1545	0.2750	0.0663	0.0239	0.0739	0.0554	0.0960	0.1830	0.2918	0.0183	0.0781	0.0781	0.0640	0.0000	0.1615	0.1597
FIRRM	0.0724	0.0222	0.0206	0.0250	0.0456	0.0645	0.0545	0.0187	0.1448	0.0245	0.0177	0.0740	0.0133	0.0179	0.0497	0.0308	0.0626	0.0202	0.0402	0.0801	0.0830	0.0339	0.0346	0.0000	0.0310	0.1107	0.0173	0.0236	0.0110	0.0178	0.0115	0.3956	0.0326	0.1068
FGR	0.0683	0.0000	0.0027	0.0084	0.0119	0.0102	0.2599	0.0337	0.4197	0.0002	0.0005	0.0000	0.0004	0.0000	0.0000	0.0113	0.3331	0.0383	0.0000	0.0000	0.7372	0.0590	2.6053	0.4771	0.0000	0.0000	0.2028	5.9570	0.0003	0.0000	0.0135	0.0000	0.0016	0.0000
CFH	0.0000	0.0000	0.0256	0.0054	0.0254	0.0152	0.4122	0.4307	0.2482	0.0001	0.0000	0.0000	0.0125	0.0014	0.0000	2.8590	0.0279	0.2653	0.0009	0.0000	0.0872	0.0000	0.0000	0.0000	0.3321	0.0232	0.0207	0.0120	0.0026	1.7475	0.0009	0.0000	0.0021	0.0000
FUCA2	0.0486	0.2594	0.0394	0.0373	0.0882	0.0471	0.1692	0.4184	0.1288	0.2460	0.3390	0.2427	0.2302	0.1953	0.3101	0.6463	0.0681	0.1550	0.4137	0.2596	0.5280	0.2646	0.2490	0.2520	0.4168	0.0348	0.1555	0.0000	0.4837	0.2515	0.2404	0.0000	0.1107	0.3042
GCLC	0.2541	1.4386	0.3069	0.4210	0.3251	0.3478	0.2656	0.3775	0.3025	1.5998	0.7765	1.9460	1.0618	1.4687	0.1191	0.4664	0.4932	0.4212	0.8321	1.3827	1.5087	0.2900	0.3726	2.4256	0.5283	0.1852	0.5262	0.4863	1.5814	0.1291	0.0713	0.4997	0.4894	0.8227
NFYA	0.2059	0.2646	0.2118	0.2383	0.3693	0.2549	0.3011	0.2372	0.3113	0.2084	0.2075	0.3043	0.1518	0.2805	0.0779	0.2528	0.1994	0.7712	0.2008	0.4243	0.1687	0.3285	0.1329	0.1424	0.2531	0.1491	0.3534	0.1537	0.1485	0.1659	0.1736	0.2850	0.1837	0.4057
STPG1	0.0725	0.1464	0.0729	0.0758	0.0591	0.0746	0.0722	0.1397	0.1197	0.1285	0.1700	0.1013	0.0733	0.0692	0.0093	0.0545	0.0598	0.0000	0.0866	0.1667	0.0148	0.0540	0.0080	0.0000	0.1020	0.0545	0.0807	0.0063	0.0645	0.0450	0.0556	0.0000	0.2029	0.0572
NIPAL3	0.1430	0.4279	0.3534	0.4813	0.3355	0.3066	0.2250	0.2006	0.1509	0.2484	0.3011	0.4031	0.1715	0.3081	0.0711	0.1175	0.3938	0.1399	0.3357	0.4477	0.0440	0.1723	0.1062	0.0000	0.3240	0.5357	0.4070	0.0630	0.2064	0.1356	0.1421	0.1419	0.3648	0.1257
LAS1L	0.2070	0.0789	0.1639	0.1606	0.1263	0.2237	0.1430	0.1898	0.1692	0.0652	0.0559	0.0874	0.0934	0.1066	0.1552	0.1786	0.2257	0.3278	0.1342	0.1387	0.1407	0.3207	0.1579	0.2100	0.2411	0.0683	0.1296	0.0000	0.1122	0.2112	0.1056	0.3798	0.0914	0.0890
ENPP4	0.1852	0.1729	0.1488	0.1774	0.1750	0.1829	0.1018	0.1929	0.4206	0.1428	0.1717	0.1219	0.0553	0.1508	0.0794	0.0539	0.1587	0.1573	0.0924	0.3033	0.0866	0.4296	0.1564	0.1114	0.1828	0.0272	0.1926	0.0306	0.1162	0.0000	0.0367	0.1422	0.1400	0.0241
SEMA3F	0.0046	0.0428	0.0018	0.0021	0.0000	0.0006	0.8846	0.0631	0.2742	0.0501	0.0175	0.1635	0.0849	0.0443	0.0000	0.0179	0.0000	0.0202	0.1152	0.1319	0.0064	0.0000	0.0130	0.0000	0.0301	0.0000	0.0000	0.0000	0.0334	0.0000	0.0024	0.0000	0.0926	0.0907
CFTR	0.0032	22.5958	0.0020	0.0171	0.0039	0.0098	0.0054	0.0660	0.0632	0.8913	0.3986	1.6632	1.0710	0.2079	0.0121	0.0148	0.0000	0.0861	1.7807	0.2490	0.0623	0.3343	0.0200	0.0000	0.0000	0.0000	0.0195	0.0429	1.0974	0.0000	0.0740	0.0000	0.3073	1.9917
ANKIB1	0.9958	0.9699	0.7317	0.9582	0.8159	0.9800	0.6890	1.5390	0.8479	0.7242	0.7842	1.3744	0.3360	0.9646	0.9854	0.7557	1.0041	1.8619	0.6673	1.6085	0.7208	0.9398	0.4833	0.7485	1.2330	0.6864	1.3625	0.4715	0.4645	0.8643	0.5287	0.8278	0.7622	0.7477
CYP51A1	0.1272	0.1446	0.1167	0.1264	0.0510	0.1109	0.1301	0.0831	0.0657	0.1250	0.2418	0.1286	0.0987	0.1002	0.2578	0.1069	0.1221	0.2121	0.1312	0.1555	0.0175	0.1337	0.0258	0.0000	0.0741	0.0912	0.0958	0.0530	0.1933	0.2195	0.0630	0.2060	0.1622	0.1267
KRIT1	0.2415	0.3014	0.1521	0.2328	0.3048	0.3259	0.2790	0.4252	0.5656	0.2294	0.2020	0.3191	0.4010	0.2356	0.1688	0.2923	0.2279	0.3126	0.2224	0.3331	0.1940	0.1722	0.1406	0.0874	0.3228	0.1464	0.3243	0.0482	0.1512	0.3245	0.1603	0.4022	0.2700	0.3486
RAD52	0.1042	0.1780	0.0697	0.0785	0.1025	0.1004	0.3334	0.1155	0.1600	0.1538	0.0980	0.2578	0.2050	0.1811	0.0938	0.0886	0.0856	0.0547	0.1803	0.2560	0.0786	0.1383	0.0276	0.0441	0.2004	0.0385	0.0524	0.0638	0.0836	0.0378	0.0376	0.0654	0.1318	0.1908
BAD	0.0940	0.3873	0.2116	0.1661	0.1719	0.1207	0.3746	0.2389	0.3261	0.3010	0.1891	0.2243	0.1868	0.2173	0.4132	0.3892	0.1851	0.1426	0.3005	0.1667	0.0891	0.0988	0.0724	0.0774	0.4333	0.1086	0.0984	0.0310	0.3234	0.3995	0.1380	0.1101	0.3620	0.0664
LAP3	0.2487	0.3558	0.3570	0.3727	0.2747	0.3059	1.5720	0.3032	1.1166	0.3687	0.2949	0.5133	0.3012	0.3132	0.2164	0.3306	0.5288	0.4704	0.4798	0.2521	1.0281	0.2478	0.4493	0.4016	0.3401	0.2464	0.4218	0.2199	0.5047	1.5745	0.1910	0.3723	0.3434	0.5071
CD99	0.0000	0.0000	0.0000	0.0001	0.0002	0.0000	0.0008	0.0000	0.0000	0.0002	0.0000	0.0000	0.0008	0.0005	0.0001	0.0008	0.0000	0.0000	0.0004	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0004	0.0001	0.0000	0.0000	0.0000
HS3ST1	0.0139	0.0980	0.0000	0.0025	0.0009	0.0021	0.2547	0.8457	0.1821	0.1513	0.1103	0.0513	0.0561	0.0834	0.0000	0.0082	0.0000	0.0000	0.1097	0.0106	0.2356	0.3192	0.0902	0.1309	0.0000	0.0000	0.0173	0.0699	0.2622	0.0000	0.0100	0.0000	0.1360	0.0294
AOC1	0.0144	1.4355	0.0012	0.0160	0.0244	0.0353	0.0000	0.0048	0.0000	1.4461	3.0370	0.8797	0.6736	0.6663	0.0000	0.0141	0.0260	0.0000	0.6615	6.2244	0.0047	0.0232	0.0078	0.0220	0.0000	0.0000	0.0480	0.0999	1.6339	0.0000	0.0669	0.0000	0.4954	0.1229
WNT16	0.0356	0.0000	0.0008	0.0038	0.0000	0.0016	0.0000	0.0000	0.0000	0.0008	0.0000	0.0000	0.0028	0.0010	0.0000	0.0299	0.0060	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0316	0.0000	0.0000	0.0000	0.0080	0.0000	0.0005	0.0000
HECW1	0.0088	0.0156	0.0078	0.0049	0.0065	0.0054	0.0226	0.0000	0.0000	0.0291	0.0310	0.0059	0.0269	0.0224	0.0000	0.0495	0.0000	0.0000	0.0028	0.0140	0.0029	0.0239	0.0000	0.0000	0.2398	0.0166	0.0182	0.0418	0.0157	0.5125	0.0008	0.0000	0.0131	0.0181
MAD1L1	0.0101	0.0017	0.0101	0.0106	0.0268	0.0119	0.0000	0.0000	0.0000	0.0034	0.0028	0.0048	0.0094	0.0005	0.0003	0.0003	0.0201	0.0000	0.0040	0.0156	0.0124	0.0071	0.0048	0.0678	0.0000	0.0077	0.0000	0.0000	0.0021	0.0000	0.0018	0.0000	0.0043	0.0000
LASP1	0.2206	1.1318	0.4053	0.4681	0.4849	0.4189	0.7296	0.7828	0.4727	1.2515	1.5183	1.0242	0.6619	1.1431	0.5790	0.6176	0.5306	0.4263	0.8333	1.6220	0.6158	0.4194	0.6291	0.2153	0.3228	0.3573	0.5360	1.1474	0.9384	0.5020	0.1968	0.5181	1.0456	0.6384
SNX11	0.0816	0.0758	0.0677	0.0799	0.0804	0.0952	0.1268	0.0774	0.1252	0.0655	0.0642	0.0712	0.0327	0.0766	0.0950	0.0727	0.1173	0.0985	0.0456	0.0796	0.1563	0.0700	0.0956	0.0870	0.0651	0.0444	0.0920	0.0765	0.0551	0.1776	0.0264	0.0000	0.0583	0.0277
TMEM176A	0.0075	0.9346	0.0000	0.0056	0.0106	0.0215	0.0670	0.1413	0.2365	0.6432	1.5772	0.2906	0.4093	0.7552	4.0455	2.1788	0.0070	0.0000	0.6359	1.4110	0.8276	0.0509	0.2870	0.0716	0.7921	0.0000	0.0000	0.0986	1.0199	0.2409	0.0612	0.0000	0.4347	0.2213
M6PR	0.6755	0.2979	0.5955	0.5628	0.7812	0.7633	0.3399	0.4797	0.6129	0.2152	0.2224	0.2869	0.1124	0.2637	0.3967	0.4223	0.6703	0.6269	0.3182	0.2938	0.9973	0.8817	1.0503	0.9270	0.4070	0.3871	0.5938	0.3345	0.2552	0.4421	0.2049	0.4019	0.2376	0.3020
KLHL13	0.0119	0.3660	0.0164	0.0585	0.0310	0.0477	0.0111	0.0459	0.0493	0.2777	0.1083	0.4126	0.1242	0.2828	0.4024	0.4325	0.0403	0.1793	0.1843	0.3245	0.0230	0.0309	0.0060	0.0000	0.3025	0.0081	0.0236	0.0000	0.1118	0.0263	0.0120	0.0000	0.1963	0.3236
CYP26B1	0.0000	0.0074	0.0000	0.0000	0.0000	0.0000	1.3886	0.0000	0.2214	0.0023	0.0036	0.0037	0.0014	0.0038	0.2573	0.0766	0.0000	0.0000	0.0075	0.0000	0.0591	0.0000	0.0000	0.0000	0.0216	0.0000	0.0000	0.0000	0.0015	0.0000	0.0033	0.0000	0.0014	0.0000
ICA1	0.0157	1.1333	0.0681	0.0680	0.1119	0.1492	1.2629	1.6953	1.9451	0.7736	0.3212	0.7990	0.4896	2.0853	0.1477	0.0103	0.1552	0.0742	0.8535	1.1588	0.2522	0.0862	0.1809	0.0000	0.0000	0.4504	0.1669	0.0922	0.5476	0.0000	0.0646	1.3854	2.5357	0.4357
DBNDD1	0.0032	0.0157	0.0008	0.0006	0.0000	0.0047	0.0030	0.0278	0.0000	0.0051	0.0027	0.0000	0.0035	0.0267	0.0106	0.0074	0.0068	0.0000	0.0165	0.0030	0.0016	0.0000	0.0047	0.0000	0.0000	0.0163	0.0000	0.0000	0.0110	0.0000	0.0000	0.0000	0.0113	0.0000
ALS2	0.0998	0.4126	0.1169	0.1348	0.1629	0.1365	0.3154	0.1796	0.2977	0.3693	0.2746	0.5107	0.2499	0.3449	0.1952	0.1672	0.0581	0.2835	0.2065	0.4883	0.0991	0.6975	0.1303	0.0000	0.2436	0.1500	0.1096	0.1006	0.1917	0.1007	0.0526	0.0653	0.5217	0.1191
CASP10	0.2796	1.0042	0.0873	0.0785	0.1476	0.1025	0.5041	0.1918	0.5048	0.5714	0.3528	0.8054	0.3812	0.2258	0.0001	0.0379	0.5001	0.1518	0.4170	0.2675	0.2262	0.0833	0.1789	0.0220	0.0000	0.0619	0.3290	0.1839	0.5386	0.0000	0.8024	0.0000	0.5856	0.4732
CFLAR	2.6466	1.3288	3.2882	2.8252	3.1015	2.8961	3.6638	1.3222	3.9085	1.0620	1.4812	1.3683	0.7377	1.0512	1.0275	1.4204	4.0021	2.1337	0.9288	0.8927	5.5352	0.6315	5.4665	2.4830	0.7929	1.3589	3.5591	5.8879	1.1492	1.2238	5.1236	3.2968	1.5852	0.6470
TFPI	0.0192	1.1583	0.0005	0.0077	0.0090	0.0094	0.3997	30.5069	4.5700	1.6552	1.0986	1.4502	0.8321	0.6617	1.7940	8.3392	0.0253	0.1132	0.5040	0.0446	0.6247	0.3262	3.0787	0.1387	0.7958	0.0000	0.0112	0.4303	1.2567	4.2347	0.0298	0.0000	0.2534	1.1864
NDUFAF7	0.2383	0.1295	0.3375	0.3965	0.3588	0.3500	0.1674	0.1811	0.1878	0.1334	0.1247	0.2246	0.0990	0.1375	0.1389	0.2255	0.4944	0.3832	0.1310	0.2136	0.1534	0.2411	0.0916	0.1740	0.2987	0.3155	0.5848	0.0398	0.1041	0.1593	0.0624	0.7056	0.0991	0.0579
RBM5	0.8926	0.9373	0.8501	0.9727	0.7145	0.7864	0.9768	0.9222	0.6948	0.7469	0.6363	1.1271	0.9206	0.8462	0.8720	0.6760	1.1323	0.6214	0.6762	1.5549	1.2993	0.9659	0.8776	0.4635	0.8935	0.9147	1.1637	0.6411	0.5100	1.1286	0.5881	1.2834	0.8018	0.6518
MTMR7	0.0221	0.0126	0.0204	0.0222	0.0124	0.0133	0.0120	0.0260	0.0325	0.0112	0.0126	0.0000	0.0045	0.1058	0.0050	0.0189	0.0085	0.1299	0.0100	0.0699	0.0125	0.0226	0.0037	0.0000	0.1885	0.0431	0.0129	0.0068	0.0089	0.0349	0.0170	0.0770	0.0197	0.0000
SLC7A2	0.0027	0.0373	0.0018	0.0015	0.0000	0.0010	0.1289	0.0230	0.0383	0.0107	0.0001	0.0776	0.0277	0.3213	0.2649	0.1030	0.0000	0.0000	0.1525	0.0095	0.0001	0.0000	0.0000	0.0000	0.7880	0.0000	0.0000	0.0000	0.0302	3.2723	0.0000	0.0000	0.0130	0.0241
ARF5	0.2507	0.3951	0.4585	0.4081	0.3581	0.3679	0.2929	0.5225	0.3718	0.3562	0.3977	0.2232	0.2508	0.3835	0.3357	0.4692	0.4205	0.3091	0.5665	0.1296	0.2134	0.2699	0.3116	0.4361	0.3245	0.3583	0.2183	1.0124	0.6667	0.2288	0.1175	0.4676	0.2733	0.1655
SARM1	0.0386	0.0828	0.0504	0.0411	0.0535	0.0598	0.0085	0.0119	0.0861	0.1549	0.0650	0.1554	0.0277	0.1075	0.0164	0.0485	0.0439	0.0288	0.0658	0.0395	0.0266	0.0140	0.0306	0.0000	0.0563	0.0528	0.0684	0.0554	0.0514	0.0000	0.0275	0.2497	0.0581	0.0836
POLDIP2	0.1204	0.2140	0.1061	0.1459	0.1165	0.1220	0.2421	0.1469	0.1462	0.2134	0.2045	0.2788	0.1506	0.1900	0.1871	0.2115	0.1242	0.0740	0.3317	0.1771	0.0913	0.1007	0.1336	0.2034	0.2051	0.1074	0.2181	0.0390	0.3885	0.6128	0.0965	0.0767	0.1235	0.0939
PLXND1	0.0612	0.0000	0.0951	0.0905	0.1511	0.1055	1.0967	0.7491	1.1146	0.0005	0.0003	0.0000	0.0030	0.0031	0.6766	0.1299	0.0332	0.1617	0.0020	0.0058	0.3955	0.1071	0.2572	0.1772	0.1842	0.2003	0.0590	0.1449	0.0023	1.0828	0.0003	0.0000	0.0027	0.0000
AK2	0.2840	0.4701	0.2886	0.3236	0.4289	0.3093	0.5207	0.4718	0.7500	0.6491	0.8384	0.8330	0.6343	0.4026	0.4165	0.3467	0.3582	0.2991	0.6822	0.4502	0.1544	0.4868	0.3999	0.7214	0.2271	0.2609	0.4276	0.1862	1.0026	0.8484	0.2142	0.1421	0.3079	0.3627
CD38	0.3973	0.0010	0.0810	0.1104	0.1932	0.1721	0.0335	1.5377	0.0000	0.0076	0.0019	0.0153	0.0141	0.0033	0.0134	0.0028	1.1618	0.1554	0.0148	0.0096	0.8063	1.4995	0.2348	0.3173	0.0000	0.0613	0.7018	0.1037	0.0042	0.0000	2.1643	0.2286	0.0026	0.0000
FKBP4	0.1861	0.4874	0.2616	0.2677	0.4625	0.2503	0.2791	0.1460	0.0856	0.2705	0.2315	0.5849	0.2503	0.2754	0.2812	0.1807	0.2555	0.0955	0.4050	0.2832	0.5086	0.1854	0.2565	0.0711	0.2909	0.3077	0.1572	0.0000	0.4320	0.3836	0.1150	0.0770	0.2337	0.3927
KDM1A	0.2664	0.2768	0.3576	0.3647	0.3793	0.3092	0.3864	0.3832	0.5885	0.2339	0.2343	0.5373	0.4447	0.5696	0.2573	0.4160	0.3965	0.4123	0.5933	0.4941	0.4154	0.5523	0.4298	0.2593	0.2189	0.3788	0.4104	0.0798	0.2959	0.4067	0.2072	0.2335	0.2825	0.5211
RBM6	2.7541	2.2742	1.5904	1.7824	1.6493	1.7720	1.8825	1.8103	2.1485	2.7261	2.1012	4.0056	2.2707	2.3057	1.2683	1.5000	2.0057	2.4941	1.8666	3.4532	1.7007	1.9994	2.3057	1.8897	1.7575	1.6442	2.0285	1.1750	1.7410	1.9435	2.1627	1.4194	2.2433	2.1678
CAMKK1	0.5215	0.0153	0.0447	0.0295	0.0526	0.0230	0.2211	0.0481	0.3806	0.0056	0.0023	0.0095	0.0428	0.2190	0.0001	0.0634	0.0254	0.0803	0.0236	0.2528	0.3489	0.1775	0.0609	0.1339	0.0887	0.0318	0.0296	0.2057	0.0131	0.0000	0.0397	0.0000	0.0333	0.0119
RECQL	0.4415	0.0813	0.3335	0.4538	0.5020	0.4290	0.8528	0.7657	0.4151	0.0561	0.0761	0.0543	0.0211	0.1272	0.4122	0.4979	0.6787	0.2735	0.1011	0.1561	0.3664	0.2985	0.5108	0.1114	0.3692	0.2915	0.4690	0.1124	0.0939	0.3030	0.1100	0.6357	0.0663	0.0735
VPS50	0.5270	0.6252	0.1483	0.2055	0.3211	0.3289	0.3754	0.7126	0.3564	0.3303	0.3589	0.5598	0.1504	0.5313	0.3448	0.4140	0.2811	0.5793	0.2758	0.5095	0.3658	0.2408	0.3131	0.2577	0.5358	0.1790	0.3441	0.1188	0.1301	0.0302	0.1807	0.1563	0.3929	0.3015
HSPB6	0.0000	0.0000	0.0006	0.0000	0.0020	0.0000	0.0511	0.0000	0.0268	0.0000	0.0000	0.0000	0.0016	0.0010	0.0016	0.6088	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0000	0.0000	1.7328	0.0000	0.0000	0.0000	0.0001	0.0385	0.0012	0.0000	0.0011	0.0276
ARHGAP33	0.0097	0.0132	0.0219	0.0223	0.0149	0.0252	0.0149	0.0060	0.0455	0.0048	0.0038	0.0156	0.0021	0.0309	0.0476	0.0370	0.0820	0.0000	0.0153	0.0455	0.0073	0.0374	0.0000	0.0000	0.0674	0.0206	0.0603	0.0000	0.0045	0.0000	0.0180	0.0000	0.0114	0.0153
NDUFAB1	0.3434	0.3801	0.5147	0.4848	0.3907	0.3978	0.5369	0.7151	0.6636	0.5625	0.9084	0.5291	0.4523	0.6241	0.6911	0.5515	0.6455	0.3569	1.2013	0.2353	0.4176	0.5342	0.3356	0.2846	1.0219	0.3872	0.3985	0.1281	1.6782	0.4856	0.3471	0.6339	0.2610	1.1467
PDK4	0.0419	4.7599	0.0020	0.0150	0.0550	0.0816	3.6052	7.9540	2.0961	10.9950	5.4522	11.3356	3.6555	8.1833	9.3281	13.8690	0.0349	0.0000	4.7892	0.0608	5.3708	0.1466	2.3626	0.2759	9.8112	0.0000	0.0720	0.6492	8.8597	17.7601	0.2028	0.0000	1.0816	1.5167
SLC22A16	0.0013	0.0000	0.0000	0.0019	0.0000	0.0026	0.0113	0.0000	0.0065	0.0013	0.0011	0.0000	0.0024	0.0041	0.0507	0.0011	0.0000	0.0000	0.0008	0.0056	0.0030	0.0169	0.0088	0.0000	0.0000	0.0000	0.0000	0.0671	0.0017	0.0000	0.0003	0.0000	0.0031	0.0000
ZMYND10	0.0010	0.0000	0.0048	0.0042	0.0068	0.0025	0.0058	0.0000	0.0046	0.0010	0.0012	0.0000	0.0018	0.0000	0.0002	0.0052	0.0000	0.0000	0.0008	0.0000	0.0000	0.0304	0.0174	0.0000	0.0000	0.0000	0.0000	0.0000	0.0020	0.0000	0.0050	0.0000	0.0043	0.0000
ABCB5	0.0148	0.0009	0.0019	0.0068	0.0167	0.0065	0.0000	0.0000	0.0105	0.0037	0.0034	0.0000	0.0046	0.0088	0.0358	0.0904	0.0043	1.2529	0.0003	0.0188	0.0114	0.0054	0.0000	0.0000	0.0191	0.0000	0.0944	0.0846	0.0009	0.0536	0.0132	0.0000	0.0101	0.0000
ARX	0.0000	0.0039	0.0006	0.0005	0.0000	0.0009	0.0000	0.0000	0.0000	0.0011	0.0005	0.0000	0.0044	0.2956	0.0000	0.0000	0.0000	0.0000	0.0048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0049	0.0000	0.0070	0.0000	0.0149	0.0000
SLC25A13	1.1365	1.3874	0.1193	0.1376	0.2146	0.2282	0.9127	1.6768	1.1776	1.7927	1.5236	1.9179	0.6131	1.5801	0.7074	0.5932	0.2338	0.7033	0.8597	2.0841	1.2095	0.3625	1.3835	0.9953	0.2968	0.1551	0.2726	2.4133	0.8617	0.2971	0.1957	0.4077	0.6107	0.9648
ST7	0.0545	0.1468	0.1069	0.1025	0.0875	0.0778	0.1782	0.2016	0.4000	0.1650	0.1485	0.1780	0.1020	0.1765	0.0249	0.2304	0.0909	0.1521	0.1765	0.1148	0.0900	0.6871	0.1902	0.2428	0.3329	0.0807	0.1521	0.0248	0.1317	0.0191	0.1693	0.1858	0.2386	0.1675
CDC27	0.6675	0.3744	0.7558	0.8039	0.6512	0.7108	2.1585	1.7775	2.1649	0.2507	0.2270	0.5105	0.1716	0.5479	0.6190	1.3555	0.8928	0.7020	0.2970	0.5417	0.7207	0.8099	0.6334	0.9623	0.8728	0.4361	1.0514	0.3479	0.2771	0.9381	0.4980	0.5701	0.2815	0.2284
SLC4A1	0.0000	0.0014	0.0057	0.0020	0.0000	0.0033	0.0015	0.0000	0.0000	0.0005	0.0010	0.0000	0.0043	0.0000	0.0000	0.0028	0.0041	0.0142	0.0000	0.0000	0.0007	0.0045	0.0217	0.0000	0.0000	0.0028	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0009	0.0000
CALCR	0.0000	0.0037	0.0000	0.0008	0.0000	0.0000	0.0008	0.0000	0.0000	0.0046	0.0028	0.0000	0.0028	0.3671	0.0003	0.0000	0.0000	0.0000	0.0000	0.0046	0.0187	0.0000	0.0000	0.0000	0.0000	0.0000	0.0072	0.0000	0.0006	0.0003	0.0005	0.0000	0.0074	0.0000
HCCS	0.1275	0.1472	0.0766	0.0694	0.0658	0.0732	0.1769	0.1370	0.1850	0.1588	0.1552	0.1303	0.1043	0.1398	0.0473	0.1100	0.0554	0.0198	0.2351	0.3045	0.0672	0.0668	0.0780	0.0220	0.0904	0.0630	0.0512	0.0464	0.2905	0.1043	0.0940	0.2005	0.0780	0.1044
DVL2	0.0809	0.0809	0.0801	0.0964	0.0903	0.0963	0.0658	0.0724	0.0672	0.0474	0.0408	0.0720	0.0500	0.0556	0.0692	0.1232	0.1010	0.0359	0.0899	0.1262	0.0736	0.0515	0.0182	0.1142	0.1711	0.0815	0.0563	0.0171	0.0502	0.1306	0.0283	0.3051	0.0944	0.0430
PRSS22	0.0000	0.3201	0.0070	0.0022	0.0000	0.0031	0.0016	0.0000	0.0023	0.0152	0.0059	0.0087	0.0526	0.0239	0.0000	0.0000	0.0000	0.0000	0.1481	1.2576	0.0008	0.0000	0.0090	0.0000	0.0091	0.0000	0.0000	0.0000	0.0573	0.0000	0.0005	0.0000	0.0869	0.0000
UPF1	0.1983	0.4067	0.2662	0.2575	0.2384	0.2700	0.2364	0.2879	0.1835	0.2955	0.2209	0.4517	0.2483	0.3876	0.2805	0.2902	0.4139	0.3336	0.3928	0.4944	0.2247	0.2394	0.2437	0.1157	0.3508	0.2725	0.2223	0.2944	0.2814	0.5653	0.1354	0.2317	0.3569	0.5732
SKAP2	1.2932	0.6131	0.4747	0.5091	0.6398	0.5284	1.3478	2.4784	2.3549	0.4429	0.8747	0.4731	0.1128	0.8181	1.9977	1.2927	1.0060	2.8427	0.4018	8.1689	1.4829	1.4798	2.3305	1.6555	1.9048	0.1605	1.0087	3.0028	0.3275	2.1614	0.2587	1.1821	1.1154	0.0527
SLC25A5	1.4660	1.3112	1.9211	1.9908	1.6939	1.3429	1.4590	1.5624	1.1092	3.0228	6.2555	1.6065	2.4260	2.1528	1.5803	1.4356	2.1595	1.0257	3.6446	0.3577	1.8885	1.2071	1.8969	2.8895	1.1491	1.5645	1.4056	0.7107	7.6221	3.0624	0.6974	1.8362	1.1055	1.7010
MCUB	0.5650	0.0920	0.6463	0.6602	0.8519	0.9802	0.3137	0.8865	0.7957	0.0107	0.0068	0.0576	0.0327	0.1714	0.0955	0.6106	0.1927	0.4101	0.0413	0.9355	0.6550	0.1991	0.8027	0.4995	0.0111	1.8541	0.6053	0.2373	0.0443	0.2151	0.1495	0.5973	0.0835	0.0127
HOXA11	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0009	0.0000	0.0018	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0029	0.0000
