gene	tau	top_cell_state	top_expr	n_states
RHBDD2	0.8365	regulatory T cell	1.6615	34
SOX8	0.9665	enteroglial cell	0.3152	34
IBTK	0.6195	enterocyte of epithelium proper of ileum	1.6775	34
ZNF195	0.6666	regulatory T cell	0.6001	34
MYCBP2	0.5443	B cell	3.2875	34
FBXL3	0.4211	myofibroblast cell	0.7372	34
ITGAL	0.8448	activated CD8-positive, alpha-beta T cell	0.7987	34
PDK2	0.6944	enterocyte of epithelium proper of ileum	0.3394	34
ITGA3	0.7432	enterocyte of epithelium proper of jejunum	0.5731	34
ZFX	0.5715	monocyte	1.5112	34
LAMP2	0.8298	enteroglial cell	3.6926	34
ITGA2B	0.8454	endothelial cell of lymphatic vessel	0.0477	34
ASB4	0.9383	pericyte	0.0863	34
GDE1	0.6594	innate lymphoid cell	0.8532	34
REX1BD	0.4921	gamma-delta T cell	1.0324	34
CRLF1	0.9465	fibroblast	0.3368	34
OSBPL7	0.7514	BEST4+ enterocyte	0.7333	34
TMEM98	0.7844	intestinal crypt stem cell of small intestine	0.6461	34
YBX2	0.8792	transit amplifying cell of small intestine	0.2387	34
KRT33A	0.9921	enterocyte of epithelium proper of duodenum	0.0002	34
MAP3K14	0.6028	paneth cell of epithelium of small intestine	1.3899	34
ABCC8	0.9904	enteroendocrine cell of small intestine	0.9451	34
CACNG3	0.9142	monocyte	0.0174	34
TMEM132A	0.9268	enteroglial cell	0.2390	34
AP2B1	0.3961	innate lymphoid cell	2.0819	34
TAC1	0.9722	endothelial cell of venule	0.6536	34
ZNF263	0.5693	regulatory T cell	0.3124	34
CX3CL1	0.9705	endothelial cell of arteriole	0.9240	34
SPATA20	0.7319	intestinal tuft cell	0.3344	34
CACNA1G	0.9649	macrophage	0.1249	34
TNFRSF12A	0.7172	transit amplifying cell of small intestine	1.0455	34
DLX6	0.9694	enteroglial cell	0.0210	34
MAP3K9	0.7482	regulatory T cell	0.4611	34
RALA	0.8950	myeloid dendritic cell	6.7323	34
BAIAP2L1	0.8171	small intestine goblet cell	3.6917	34
KDM7A	0.6155	small intestine goblet cell	2.1641	34
ETV1	0.9620	enteroendocrine cell of small intestine	0.8241	34
AGK	0.6491	enteroglial cell	0.4796	34
ALDH3B1	0.8358	macrophage	0.2547	34
TTC22	0.8029	enterocyte of epithelium proper of ileum	0.2724	34
PHTF2	0.8685	regulatory T cell	4.3122	34
CCL26	0.9695	fibroblast	0.1707	34
FARP2	0.8476	intestinal tuft cell	5.6488	34
USH1C	0.8564	intestinal tuft cell	2.5770	34
GGCT	0.6685	intestinal crypt stem cell of small intestine	0.4874	34
DBF4	0.7870	innate lymphoid cell	1.6069	34
TBXA2R	0.9584	endothelial cell of arteriole	0.3835	34
IFRD1	0.6743	neutrophil	2.4118	34
LGALS14	0.9735	enterocyte of epithelium proper of ileum	0.0003	34
COX10	0.6974	transit amplifying cell of small intestine	0.9279	34
GTF2IRD1	0.6833	enterocyte of epithelium proper of jejunum	0.7721	34
PAF1	0.5243	CD4-positive, alpha-beta T cell	0.6577	34
VPS41	0.7315	myeloid dendritic cell	1.8721	34
ARHGAP44	0.7942	enterocyte of epithelium proper of jejunum	1.0840	34
ELAC2	0.5618	enterocyte of epithelium proper of small intestine	0.3242	34
SCIN	0.9258	enterocyte of epithelium proper of ileum	4.1908	34
ARSD	0.7364	intestinal crypt stem cell of small intestine	0.6494	34
PNPLA4	0.7254	paneth cell of epithelium of small intestine	0.2259	34
MYH13	0.8990	myofibroblast cell	0.0464	34
ADIPOR2	0.6822	enterocyte of epithelium proper of ileum	4.7839	34
CDKL3	0.9603	regulatory T cell	0.1643	34
UPP2	0.9154	mast cell	0.2945	34
PRSS21	0.8626	mast cell	0.0506	34
MARK4	0.8131	endothelial cell of lymphatic vessel	1.0610	34
PROM1	0.8779	myofibroblast cell	1.4683	34
CCDC124	0.5666	myofibroblast cell	0.5011	34
CEACAM21	0.8445	innate lymphoid cell	0.5011	34
PAFAH1B1	0.3674	enterocyte of epithelium proper of jejunum	3.7163	34
NOS2	0.9556	intestinal crypt stem cell of small intestine	0.2270	34
DNAH9	0.9836	enterocyte of epithelium proper of small intestine	1.4867	34
BLTP2	0.5295	intestinal tuft cell	0.5720	34
SLC13A2	0.9172	enterocyte of epithelium proper of duodenum	3.7024	34
GAS7	0.8741	enteroglial cell	6.4322	34
TRAPPC6A	0.6388	regulatory T cell	0.5910	34
MATK	0.9867	intestinal tuft cell	6.8460	34
CEACAM7	0.9597	endothelial cell of lymphatic vessel	0.0532	34
CD79B	0.9494	B cell	0.4630	34
SCN4A	0.9855	endothelial cell of arteriole	0.2030	34
ST7L	0.5362	myeloid dendritic cell	0.6641	34
TKTL1	0.9174	neutrophil	0.1021	34
PAX6	0.9931	enteroendocrine cell of small intestine	0.5236	34
RPUSD1	0.5214	gamma-delta T cell	0.0928	34
RHBDF1	0.9201	enteroglial cell	0.6318	34
LUC7L	0.4122	natural killer cell	1.4168	34
CACNA2D2	0.9159	intestinal tuft cell	0.4867	34
BAIAP3	0.8669	B cell	0.2853	34
TSR3	0.5669	regulatory T cell	0.5066	34
PIGQ	0.5479	intestinal tuft cell	0.1121	34
CRAMP1	0.7343	intestinal tuft cell	0.2967	34
TEAD3	0.8113	myofibroblast cell	0.5919	34
SELE	0.9989	endothelial cell of venule	4.0693	34
DNAJC11	0.6567	transit amplifying cell of small intestine	0.6643	34
FMO3	0.9900	pericyte	1.0678	34
MYLIP	0.7257	innate lymphoid cell	2.9486	34
NOX1	0.9330	intestinal tuft cell	0.0127	34
E2F2	0.9065	enterocyte of epithelium proper of small intestine	0.2294	34
PSMB1	0.5161	pericyte	2.2769	34
SYN1	0.9274	monocyte	0.0423	34
JARID2	0.8880	monocyte	25.3690	34
CDKL5	0.6257	myofibroblast cell	0.6255	34
CAMK1G	0.9534	myeloid dendritic cell	0.0709	34
CDK11A	0.6794	transit amplifying cell of small intestine	0.9159	34
NADK	0.9370	neutrophil	3.1690	34
TFAP2B	0.9907	enterocyte of epithelium proper of small intestine	0.0065	34
TFAP2D	0.9564	enterocyte of epithelium proper of small intestine	0.0016	34
DLEC1	0.6013	natural killer cell	0.0364	34
CYTH3	0.7843	pericyte	4.0608	34
